NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
1,Small,19,31,4.0,7,11.697,4.0,15.2,12.0,86.377,0,31,39,47.98,1.93,4.67,1.15,0.989,20,21
3,Sedan,21,30,6.0,7,8.485,6.0,22.8,18.0,5.938,0,30,39,16.55,3.36,4.77,1.05,0.982,20,21
4,Sedan,21,30,6.0,3,3.012,6.0,22.8,18.0,57.822,0,30,39,39.76,2.72,4.65,0.97,0.991,21,21
4,Sedan,16,34,6.0,7,14.882,6.0,22.8,18.0,3.045,0,29,34,21.72,2.26,4.63,1.18,0.98,19,23
3,Small,22,31,4.0,3,2.757,4.0,15.2,12.0,15.242,0,31,39,23.34,2.29,4.65,1.18,0.981,21,23
2,Sedan,20,32,6.0,3,13.199,6.0,22.8,18.0,15.242,0,29,32,24.37,1.5,4.69,0.92,0.973,20,23
1,Small,17,33,4.0,3,8.85,4.0,15.2,12.0,57.822,0,33,39,17.58,2.09,4.64,1.09,0.973,21,21
4,SUV,19,30,13.5,3,14.179,13.5,51.3,40.5,57.822,0,19,23,17.7,1.67,4.69,1.11,0.967,20,22
2,SUV,19,32,13.5,3,8.113,13.5,51.3,40.5,15.242,0,32,39,10.72,2.58,4.73,0.93,0.964,21,21
3,Small,20,32,4.0,3,10.141,4.0,15.2,12.0,10.783,0,20,23,48.47,3.49,4.71,1.1,0.994,21,23
5,Small,20,33,5.0,7,14.383,4.0,15.2,11.0,3.045,0,29,33,29.75,2.0,4.74,1.14,0.983,21,22
2,Sedan,18,34,6.0,7,7.988,6.0,22.8,18.0,3.045,0,34,39,40.59,2.49,4.77,0.98,0.99,20,23
4,Small,19,31,4.0,7,9.348,4.0,15.2,12.0,15.242,0,19,23,26.61,1.68,4.75,1.16,0.978,19,23
1,Truck,20,30,17.5,7,9.788,17.5,66.5,52.5,15.242,0,30,39,12.51,1.27,4.73,1.02,0.939,19,21
4,Small,16,29,4.0,7,7.458,4.0,15.2,12.0,10.783,0,29,39,7.39,0.79,4.61,1.13,0.843,20,23
1,SUV,19,30,13.5,7,6.343,13.5,51.3,40.5,83.097,0,19,23,26.05,3.03,4.71,1.0,0.987,21,22
3,SUV,20,31,13.5,3,15.08,13.5,51.3,40.5,10.783,0,20,23,40.26,3.4,4.74,0.92,0.993,20,21
