set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 8
    2 11
    3 12
    4 12
    5 8
    6 11
    7 8
    8 9
    9 5
    10 9
    11 11
    12 8
    13 6
    14 8
    15 4
 ;

param depart := 
    1 19
    2 18
    3 21
    4 19
    5 18
    6 20
    7 21
    8 18
    9 23
    10 21
    11 20
    12 17
    13 19
    14 19
    15 19
 ;

param TFC := 
    1 1 6
    2 1 3
    3 1 1
    4 1 6
    5 1 2
    6 1 6
    7 1 6
    8 1 4
    9 1 3
    10 1 2
    11 1 4
    12 1 5
    13 1 4
    14 1 12
    15 1 4
    1 2 6
    2 2 3
    3 2 1
    4 2 6
    5 2 2
    6 2 6
    7 2 6
    8 2 4
    9 2 3
    10 2 2
    11 2 4
    12 2 5
    13 2 4
    14 2 12
    15 2 4
    1 3 6
    2 3 3
    3 3 1
    4 3 6
    5 3 2
    6 3 6
    7 3 6
    8 3 4
    9 3 3
    10 3 2
    11 3 4
    12 3 5
    13 3 4
    14 3 12
    15 3 4
    1 4 6
    2 4 3
    3 4 1
    4 4 6
    5 4 2
    6 4 6
    7 4 6
    8 4 4
    9 4 3
    10 4 2
    11 4 4
    12 4 5
    13 4 4
    14 4 12
    15 4 4
    1 5 6
    2 5 3
    3 5 1
    4 5 6
    5 5 2
    6 5 6
    7 5 6
    8 5 4
    9 5 3
    10 5 2
    11 5 4
    12 5 5
    13 5 4
    14 5 12
    15 5 4
    1 6 3
    2 6 2
    3 6 1
    4 6 3
    5 6 1
    6 6 3
    7 6 3
    8 6 2
    9 6 2
    10 6 1
    11 6 2
    12 6 3
    13 6 2
    14 6 6
    15 6 2
    1 7 3
    2 7 2
    3 7 1
    4 7 3
    5 7 1
    6 7 3
    7 7 3
    8 7 2
    9 7 2
    10 7 1
    11 7 2
    12 7 3
    13 7 2
    14 7 6
    15 7 2
    1 8 3
    2 8 2
    3 8 1
    4 8 3
    5 8 1
    6 8 3
    7 8 3
    8 8 2
    9 8 2
    10 8 1
    11 8 2
    12 8 3
    13 8 2
    14 8 6
    15 8 2
    1 9 2
    2 9 2
    3 9 1
    4 9 2
    5 9 1
    6 9 2
    7 9 2
    8 9 1
    9 9 1
    10 9 1
    11 9 2
    12 9 1
    13 9 2
    14 9 3
    15 9 2
    1 10 2
    2 10 2
    3 10 1
    4 10 2
    5 10 1
    6 10 2
    7 10 2
    8 10 1
    9 10 1
    10 10 1
    11 10 2
    12 10 1
    13 10 2
    14 10 3
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
