set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 12
    2 14
    3 10
    4 9
    5 9
    6 8
    7 7
    8 6
    9 10
    10 9
    11 10
    12 9
    13 8
    14 10
    15 4
 ;

param depart := 
    1 23
    2 19
    3 21
    4 23
    5 22
    6 21
    7 21
    8 17
    9 18
    10 18
    11 19
    12 19
    13 22
    14 21
    15 24
 ;

param TFC := 
    1 1 3
    2 1 3
    3 1 4
    4 1 5
    5 1 5
    6 1 2
    7 1 4
    8 1 4
    9 1 1
    10 1 2
    11 1 4
    12 1 3
    13 1 3
    14 1 6
    15 1 3
    1 2 3
    2 2 3
    3 2 4
    4 2 5
    5 2 5
    6 2 2
    7 2 4
    8 2 4
    9 2 1
    10 2 2
    11 2 4
    12 2 3
    13 2 3
    14 2 6
    15 2 3
    1 3 3
    2 3 3
    3 3 4
    4 3 5
    5 3 5
    6 3 2
    7 3 4
    8 3 4
    9 3 1
    10 3 2
    11 3 4
    12 3 3
    13 3 3
    14 3 6
    15 3 3
    1 4 3
    2 4 3
    3 4 4
    4 4 5
    5 4 5
    6 4 2
    7 4 4
    8 4 4
    9 4 1
    10 4 2
    11 4 4
    12 4 3
    13 4 3
    14 4 6
    15 4 3
    1 5 3
    2 5 3
    3 5 4
    4 5 5
    5 5 5
    6 5 2
    7 5 4
    8 5 4
    9 5 1
    10 5 2
    11 5 4
    12 5 3
    13 5 3
    14 5 6
    15 5 3
    1 6 2
    2 6 2
    3 6 2
    4 6 3
    5 6 3
    6 6 1
    7 6 2
    8 6 2
    9 6 1
    10 6 1
    11 6 2
    12 6 2
    13 6 2
    14 6 3
    15 6 2
    1 7 2
    2 7 2
    3 7 2
    4 7 3
    5 7 3
    6 7 1
    7 7 2
    8 7 2
    9 7 1
    10 7 1
    11 7 2
    12 7 2
    13 7 2
    14 7 3
    15 7 2
    1 8 2
    2 8 2
    3 8 2
    4 8 3
    5 8 3
    6 8 1
    7 8 2
    8 8 2
    9 8 1
    10 8 1
    11 8 2
    12 8 2
    13 8 2
    14 8 3
    15 8 2
    1 9 2
    2 9 2
    3 9 2
    4 9 1
    5 9 1
    6 9 1
    7 9 2
    8 9 2
    9 9 1
    10 9 1
    11 9 2
    12 9 2
    13 9 2
    14 9 2
    15 9 1
    1 10 2
    2 10 2
    3 10 2
    4 10 1
    5 10 1
    6 10 1
    7 10 2
    8 10 2
    9 10 1
    10 10 1
    11 10 2
    12 10 2
    13 10 2
    14 10 2
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
