set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 8
    2 3
    3 8
    4 6
    5 9
    6 9
    7 8
    8 7
    9 6
    10 9
    11 10
    12 14
    13 6
    14 12
    15 12
 ;

param depart := 
    1 16
    2 19
    3 23
    4 20
    5 20
    6 21
    7 19
    8 18
    9 24
    10 20
    11 20
    12 19
    13 17
    14 20
    15 19
 ;

param TFC := 
    1 1 4
    2 1 6
    3 1 3
    4 1 4
    5 1 11
    6 1 4
    7 1 4
    8 1 6
    9 1 4
    10 1 9
    11 1 4
    12 1 3
    13 1 4
    14 1 2
    15 1 8
    1 2 4
    2 2 6
    3 2 3
    4 2 4
    5 2 11
    6 2 4
    7 2 4
    8 2 6
    9 2 4
    10 2 9
    11 2 4
    12 2 3
    13 2 4
    14 2 2
    15 2 8
    1 3 4
    2 3 6
    3 3 3
    4 3 4
    5 3 11
    6 3 4
    7 3 4
    8 3 6
    9 3 4
    10 3 9
    11 3 4
    12 3 3
    13 3 4
    14 3 2
    15 3 8
    1 4 4
    2 4 6
    3 4 3
    4 4 4
    5 4 11
    6 4 4
    7 4 4
    8 4 6
    9 4 4
    10 4 9
    11 4 4
    12 4 3
    13 4 4
    14 4 2
    15 4 8
    1 5 4
    2 5 6
    3 5 3
    4 5 4
    5 5 11
    6 5 4
    7 5 4
    8 5 6
    9 5 4
    10 5 9
    11 5 4
    12 5 3
    13 5 4
    14 5 2
    15 5 8
    1 6 2
    2 6 3
    3 6 2
    4 6 2
    5 6 6
    6 6 2
    7 6 2
    8 6 3
    9 6 2
    10 6 5
    11 6 2
    12 6 2
    13 6 2
    14 6 1
    15 6 4
    1 7 2
    2 7 3
    3 7 2
    4 7 2
    5 7 6
    6 7 2
    7 7 2
    8 7 3
    9 7 2
    10 7 5
    11 7 2
    12 7 2
    13 7 2
    14 7 1
    15 7 4
    1 8 2
    2 8 3
    3 8 2
    4 8 2
    5 8 6
    6 8 2
    7 8 2
    8 8 3
    9 8 2
    10 8 5
    11 8 2
    12 8 2
    13 8 2
    14 8 1
    15 8 4
    1 9 2
    2 9 2
    3 9 2
    4 9 1
    5 9 3
    6 9 2
    7 9 2
    8 9 2
    9 9 1
    10 9 2
    11 9 1
    12 9 1
    13 9 2
    14 9 1
    15 9 2
    1 10 2
    2 10 2
    3 10 2
    4 10 1
    5 10 3
    6 10 2
    7 10 2
    8 10 2
    9 10 1
    10 10 2
    11 10 1
    12 10 1
    13 10 2
    14 10 1
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
