set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 7
    2 9
    3 4
    4 9
    5 11
    6 4
    7 11
    8 6
    9 10
    10 11
    11 10
    12 12
    13 13
    14 7
    15 8
 ;

param depart := 
    1 18
    2 20
    3 23
    4 19
    5 21
    6 18
    7 20
    8 21
    9 21
    10 18
    11 18
    12 22
    13 23
    14 20
    15 17
 ;

param TFC := 
    1 1 2
    2 1 6
    3 1 6
    4 1 5
    5 1 4
    6 1 9
    7 1 4
    8 1 3
    9 1 3
    10 1 4
    11 1 2
    12 1 4
    13 1 4
    14 1 3
    15 1 2
    1 2 2
    2 2 6
    3 2 6
    4 2 5
    5 2 4
    6 2 9
    7 2 4
    8 2 3
    9 2 3
    10 2 4
    11 2 2
    12 2 4
    13 2 4
    14 2 3
    15 2 2
    1 3 2
    2 3 6
    3 3 6
    4 3 5
    5 3 4
    6 3 9
    7 3 4
    8 3 3
    9 3 3
    10 3 4
    11 3 2
    12 3 4
    13 3 4
    14 3 3
    15 3 2
    1 4 2
    2 4 6
    3 4 6
    4 4 5
    5 4 4
    6 4 9
    7 4 4
    8 4 3
    9 4 3
    10 4 4
    11 4 2
    12 4 4
    13 4 4
    14 4 3
    15 4 2
    1 5 2
    2 5 6
    3 5 6
    4 5 5
    5 5 4
    6 5 9
    7 5 4
    8 5 3
    9 5 3
    10 5 4
    11 5 2
    12 5 4
    13 5 4
    14 5 3
    15 5 2
    1 6 1
    2 6 3
    3 6 3
    4 6 3
    5 6 2
    6 6 5
    7 6 2
    8 6 2
    9 6 2
    10 6 2
    11 6 1
    12 6 2
    13 6 2
    14 6 2
    15 6 1
    1 7 1
    2 7 3
    3 7 3
    4 7 3
    5 7 2
    6 7 5
    7 7 2
    8 7 2
    9 7 2
    10 7 2
    11 7 1
    12 7 2
    13 7 2
    14 7 2
    15 7 1
    1 8 1
    2 8 3
    3 8 3
    4 8 3
    5 8 2
    6 8 5
    7 8 2
    8 8 2
    9 8 2
    10 8 2
    11 8 1
    12 8 2
    13 8 2
    14 8 2
    15 8 1
    1 9 1
    2 9 2
    3 9 2
    4 9 1
    5 9 2
    6 9 2
    7 9 2
    8 9 2
    9 9 2
    10 9 2
    11 9 1
    12 9 2
    13 9 2
    14 9 2
    15 9 1
    1 10 1
    2 10 2
    3 10 2
    4 10 1
    5 10 2
    6 10 2
    7 10 2
    8 10 2
    9 10 2
    10 10 2
    11 10 1
    12 10 2
    13 10 2
    14 10 2
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
