set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 14
    2 10
    3 8
    4 3
    5 8
    6 11
    7 8
    8 6
    9 6
    10 9
    11 7
    12 9
    13 7
    14 11
    15 9
 ;

param depart := 
    1 20
    2 21
    3 21
    4 20
    5 21
    6 16
    7 23
    8 20
    9 17
    10 19
    11 20
    12 19
    13 21
    14 20
    15 20
 ;

param TFC := 
    1 1 6
    2 1 6
    3 1 4
    4 1 4
    5 1 6
    6 1 2
    7 1 9
    8 1 2
    9 1 6
    10 1 4
    11 1 3
    12 1 3
    13 1 4
    14 1 6
    15 1 11
    1 2 6
    2 2 6
    3 2 4
    4 2 4
    5 2 6
    6 2 2
    7 2 9
    8 2 2
    9 2 6
    10 2 4
    11 2 3
    12 2 3
    13 2 4
    14 2 6
    15 2 11
    1 3 6
    2 3 6
    3 3 4
    4 3 4
    5 3 6
    6 3 2
    7 3 9
    8 3 2
    9 3 6
    10 3 4
    11 3 3
    12 3 3
    13 3 4
    14 3 6
    15 3 11
    1 4 6
    2 4 6
    3 4 4
    4 4 4
    5 4 6
    6 4 2
    7 4 9
    8 4 2
    9 4 6
    10 4 4
    11 4 3
    12 4 3
    13 4 4
    14 4 6
    15 4 11
    1 5 6
    2 5 6
    3 5 4
    4 5 4
    5 5 6
    6 5 2
    7 5 9
    8 5 2
    9 5 6
    10 5 4
    11 5 3
    12 5 3
    13 5 4
    14 5 6
    15 5 11
    1 6 3
    2 6 3
    3 6 2
    4 6 2
    5 6 3
    6 6 1
    7 6 5
    8 6 1
    9 6 3
    10 6 2
    11 6 2
    12 6 2
    13 6 2
    14 6 3
    15 6 6
    1 7 3
    2 7 3
    3 7 2
    4 7 2
    5 7 3
    6 7 1
    7 7 5
    8 7 1
    9 7 3
    10 7 2
    11 7 2
    12 7 2
    13 7 2
    14 7 3
    15 7 6
    1 8 3
    2 8 3
    3 8 2
    4 8 2
    5 8 3
    6 8 1
    7 8 5
    8 8 1
    9 8 3
    10 8 2
    11 8 2
    12 8 2
    13 8 2
    14 8 3
    15 8 6
    1 9 2
    2 9 2
    3 9 1
    4 9 2
    5 9 2
    6 9 1
    7 9 2
    8 9 1
    9 9 2
    10 9 1
    11 9 1
    12 9 1
    13 9 1
    14 9 2
    15 9 3
    1 10 2
    2 10 2
    3 10 1
    4 10 2
    5 10 2
    6 10 1
    7 10 2
    8 10 1
    9 10 2
    10 10 1
    11 10 1
    12 10 1
    13 10 1
    14 10 2
    15 10 3
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
