set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 10
    3 9
    4 9
    5 7
    6 7
    7 9
    8 3
    9 8
    10 11
    11 10
    12 10
    13 11
    14 7
    15 10
 ;

param depart := 
    1 21
    2 19
    3 19
    4 20
    5 18
    6 20
    7 23
    8 21
    9 22
    10 23
    11 20
    12 20
    13 19
    14 22
    15 20
 ;

param TFC := 
    1 1 2
    2 1 3
    3 1 7
    4 1 6
    5 1 10
    6 1 8
    7 1 9
    8 1 5
    9 1 3
    10 1 8
    11 1 3
    12 1 8
    13 1 3
    14 1 2
    15 1 3
    1 2 2
    2 2 3
    3 2 7
    4 2 6
    5 2 10
    6 2 8
    7 2 9
    8 2 5
    9 2 3
    10 2 8
    11 2 3
    12 2 8
    13 2 3
    14 2 2
    15 2 3
    1 3 2
    2 3 3
    3 3 7
    4 3 6
    5 3 10
    6 3 8
    7 3 9
    8 3 5
    9 3 3
    10 3 8
    11 3 3
    12 3 8
    13 3 3
    14 3 2
    15 3 3
    1 4 2
    2 4 3
    3 4 7
    4 4 6
    5 4 10
    6 4 8
    7 4 9
    8 4 5
    9 4 3
    10 4 8
    11 4 3
    12 4 8
    13 4 3
    14 4 2
    15 4 3
    1 5 2
    2 5 3
    3 5 7
    4 5 6
    5 5 10
    6 5 8
    7 5 9
    8 5 5
    9 5 3
    10 5 8
    11 5 3
    12 5 8
    13 5 3
    14 5 2
    15 5 3
    1 6 1
    2 6 2
    3 6 4
    4 6 3
    5 6 5
    6 6 4
    7 6 5
    8 6 3
    9 6 2
    10 6 4
    11 6 2
    12 6 4
    13 6 2
    14 6 1
    15 6 2
    1 7 1
    2 7 2
    3 7 4
    4 7 3
    5 7 5
    6 7 4
    7 7 5
    8 7 3
    9 7 2
    10 7 4
    11 7 2
    12 7 4
    13 7 2
    14 7 1
    15 7 2
    1 8 1
    2 8 2
    3 8 4
    4 8 3
    5 8 5
    6 8 4
    7 8 5
    8 8 3
    9 8 2
    10 8 4
    11 8 2
    12 8 4
    13 8 2
    14 8 1
    15 8 2
    1 9 1
    2 9 1
    3 9 2
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 1
    9 9 2
    10 9 2
    11 9 1
    12 9 2
    13 9 2
    14 9 1
    15 9 2
    1 10 1
    2 10 1
    3 10 2
    4 10 2
    5 10 2
    6 10 2
    7 10 2
    8 10 1
    9 10 2
    10 10 2
    11 10 1
    12 10 2
    13 10 2
    14 10 1
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
