set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 8
    2 11
    3 12
    4 9
    5 5
    6 9
    7 8
    8 7
    9 8
    10 7
    11 5
    12 3
    13 6
    14 7
    15 7
 ;

param depart := 
    1 21
    2 21
    3 20
    4 22
    5 20
    6 20
    7 20
    8 22
    9 21
    10 18
    11 17
    12 17
    13 18
    14 18
    15 19
 ;

param TFC := 
    1 1 2
    2 1 15
    3 1 5
    4 1 4
    5 1 11
    6 1 12
    7 1 4
    8 1 2
    9 1 8
    10 1 4
    11 1 2
    12 1 3
    13 1 2
    14 1 4
    15 1 5
    1 2 2
    2 2 15
    3 2 5
    4 2 4
    5 2 11
    6 2 12
    7 2 4
    8 2 2
    9 2 8
    10 2 4
    11 2 2
    12 2 3
    13 2 2
    14 2 4
    15 2 5
    1 3 2
    2 3 15
    3 3 5
    4 3 4
    5 3 11
    6 3 12
    7 3 4
    8 3 2
    9 3 8
    10 3 4
    11 3 2
    12 3 3
    13 3 2
    14 3 4
    15 3 5
    1 4 2
    2 4 15
    3 4 5
    4 4 4
    5 4 11
    6 4 12
    7 4 4
    8 4 2
    9 4 8
    10 4 4
    11 4 2
    12 4 3
    13 4 2
    14 4 4
    15 4 5
    1 5 2
    2 5 15
    3 5 5
    4 5 4
    5 5 11
    6 5 12
    7 5 4
    8 5 2
    9 5 8
    10 5 4
    11 5 2
    12 5 3
    13 5 2
    14 5 4
    15 5 5
    1 6 1
    2 6 8
    3 6 3
    4 6 2
    5 6 6
    6 6 6
    7 6 2
    8 6 1
    9 6 4
    10 6 2
    11 6 1
    12 6 2
    13 6 1
    14 6 2
    15 6 3
    1 7 1
    2 7 8
    3 7 3
    4 7 2
    5 7 6
    6 7 6
    7 7 2
    8 7 1
    9 7 4
    10 7 2
    11 7 1
    12 7 2
    13 7 1
    14 7 2
    15 7 3
    1 8 1
    2 8 8
    3 8 3
    4 8 2
    5 8 6
    6 8 6
    7 8 2
    8 8 1
    9 8 4
    10 8 2
    11 8 1
    12 8 2
    13 8 1
    14 8 2
    15 8 3
    1 9 1
    2 9 4
    3 9 1
    4 9 2
    5 9 3
    6 9 3
    7 9 1
    8 9 1
    9 9 2
    10 9 2
    11 9 1
    12 9 1
    13 9 1
    14 9 2
    15 9 2
    1 10 1
    2 10 4
    3 10 1
    4 10 2
    5 10 3
    6 10 3
    7 10 1
    8 10 1
    9 10 2
    10 10 2
    11 10 1
    12 10 1
    13 10 1
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
