set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 9
    2 8
    3 12
    4 12
    5 7
    6 8
    7 7
    8 10
    9 10
    10 9
    11 13
    12 11
    13 11
    14 10
    15 10
 ;

param depart := 
    1 21
    2 21
    3 18
    4 19
    5 19
    6 21
    7 19
    8 21
    9 20
    10 19
    11 22
    12 21
    13 22
    14 18
    15 20
 ;

param TFC := 
    1 1 6
    2 1 6
    3 1 14
    4 1 5
    5 1 9
    6 1 4
    7 1 6
    8 1 5
    9 1 3
    10 1 1
    11 1 6
    12 1 5
    13 1 4
    14 1 2
    15 1 5
    1 2 6
    2 2 6
    3 2 14
    4 2 5
    5 2 9
    6 2 4
    7 2 6
    8 2 5
    9 2 3
    10 2 1
    11 2 6
    12 2 5
    13 2 4
    14 2 2
    15 2 5
    1 3 6
    2 3 6
    3 3 14
    4 3 5
    5 3 9
    6 3 4
    7 3 6
    8 3 5
    9 3 3
    10 3 1
    11 3 6
    12 3 5
    13 3 4
    14 3 2
    15 3 5
    1 4 6
    2 4 6
    3 4 14
    4 4 5
    5 4 9
    6 4 4
    7 4 6
    8 4 5
    9 4 3
    10 4 1
    11 4 6
    12 4 5
    13 4 4
    14 4 2
    15 4 5
    1 5 6
    2 5 6
    3 5 14
    4 5 5
    5 5 9
    6 5 4
    7 5 6
    8 5 5
    9 5 3
    10 5 1
    11 5 6
    12 5 5
    13 5 4
    14 5 2
    15 5 5
    1 6 3
    2 6 3
    3 6 7
    4 6 3
    5 6 5
    6 6 2
    7 6 3
    8 6 3
    9 6 2
    10 6 1
    11 6 3
    12 6 3
    13 6 2
    14 6 1
    15 6 3
    1 7 3
    2 7 3
    3 7 7
    4 7 3
    5 7 5
    6 7 2
    7 7 3
    8 7 3
    9 7 2
    10 7 1
    11 7 3
    12 7 3
    13 7 2
    14 7 1
    15 7 3
    1 8 3
    2 8 3
    3 8 7
    4 8 3
    5 8 5
    6 8 2
    7 8 3
    8 8 3
    9 8 2
    10 8 1
    11 8 3
    12 8 3
    13 8 2
    14 8 1
    15 8 3
    1 9 2
    2 9 2
    3 9 3
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 2
    9 9 1
    10 9 1
    11 9 2
    12 9 1
    13 9 2
    14 9 1
    15 9 1
    1 10 2
    2 10 2
    3 10 3
    4 10 2
    5 10 2
    6 10 2
    7 10 2
    8 10 2
    9 10 1
    10 10 1
    11 10 2
    12 10 1
    13 10 2
    14 10 1
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
