set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 11
    2 6
    3 10
    4 8
    5 9
    6 9
    7 7
    8 11
    9 6
    10 10
    11 10
    12 4
    13 12
    14 11
    15 8
 ;

param depart := 
    1 20
    2 22
    3 21
    4 20
    5 16
    6 21
    7 22
    8 18
    9 18
    10 17
    11 21
    12 17
    13 20
    14 20
    15 18
 ;

param TFC := 
    1 1 3
    2 1 11
    3 1 4
    4 1 4
    5 1 4
    6 1 3
    7 1 4
    8 1 4
    9 1 2
    10 1 4
    11 1 7
    12 1 10
    13 1 4
    14 1 2
    15 1 4
    1 2 3
    2 2 11
    3 2 4
    4 2 4
    5 2 4
    6 2 3
    7 2 4
    8 2 4
    9 2 2
    10 2 4
    11 2 7
    12 2 10
    13 2 4
    14 2 2
    15 2 4
    1 3 3
    2 3 11
    3 3 4
    4 3 4
    5 3 4
    6 3 3
    7 3 4
    8 3 4
    9 3 2
    10 3 4
    11 3 7
    12 3 10
    13 3 4
    14 3 2
    15 3 4
    1 4 3
    2 4 11
    3 4 4
    4 4 4
    5 4 4
    6 4 3
    7 4 4
    8 4 4
    9 4 2
    10 4 4
    11 4 7
    12 4 10
    13 4 4
    14 4 2
    15 4 4
    1 5 3
    2 5 11
    3 5 4
    4 5 4
    5 5 4
    6 5 3
    7 5 4
    8 5 4
    9 5 2
    10 5 4
    11 5 7
    12 5 10
    13 5 4
    14 5 2
    15 5 4
    1 6 2
    2 6 6
    3 6 2
    4 6 2
    5 6 2
    6 6 2
    7 6 2
    8 6 2
    9 6 1
    10 6 2
    11 6 4
    12 6 5
    13 6 2
    14 6 1
    15 6 2
    1 7 2
    2 7 6
    3 7 2
    4 7 2
    5 7 2
    6 7 2
    7 7 2
    8 7 2
    9 7 1
    10 7 2
    11 7 4
    12 7 5
    13 7 2
    14 7 1
    15 7 2
    1 8 2
    2 8 6
    3 8 2
    4 8 2
    5 8 2
    6 8 2
    7 8 2
    8 8 2
    9 8 1
    10 8 2
    11 8 4
    12 8 5
    13 8 2
    14 8 1
    15 8 2
    1 9 1
    2 9 3
    3 9 2
    4 9 2
    5 9 2
    6 9 1
    7 9 1
    8 9 2
    9 9 1
    10 9 2
    11 9 2
    12 9 3
    13 9 2
    14 9 1
    15 9 1
    1 10 1
    2 10 3
    3 10 2
    4 10 2
    5 10 2
    6 10 1
    7 10 1
    8 10 2
    9 10 1
    10 10 2
    11 10 2
    12 10 3
    13 10 2
    14 10 1
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
