set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 11
    2 6
    3 9
    4 6
    5 10
    6 8
    7 6
    8 4
    9 11
    10 10
    11 5
    12 5
    13 9
    14 9
    15 7
 ;

param depart := 
    1 22
    2 18
    3 20
    4 18
    5 20
    6 21
    7 18
    8 22
    9 20
    10 19
    11 22
    12 22
    13 18
    14 21
    15 21
 ;

param TFC := 
    1 1 9
    2 1 10
    3 1 4
    4 1 4
    5 1 6
    6 1 1
    7 1 4
    8 1 4
    9 1 2
    10 1 5
    11 1 6
    12 1 10
    13 1 4
    14 1 6
    15 1 9
    1 2 9
    2 2 10
    3 2 4
    4 2 4
    5 2 6
    6 2 1
    7 2 4
    8 2 4
    9 2 2
    10 2 5
    11 2 6
    12 2 10
    13 2 4
    14 2 6
    15 2 9
    1 3 9
    2 3 10
    3 3 4
    4 3 4
    5 3 6
    6 3 1
    7 3 4
    8 3 4
    9 3 2
    10 3 5
    11 3 6
    12 3 10
    13 3 4
    14 3 6
    15 3 9
    1 4 9
    2 4 10
    3 4 4
    4 4 4
    5 4 6
    6 4 1
    7 4 4
    8 4 4
    9 4 2
    10 4 5
    11 4 6
    12 4 10
    13 4 4
    14 4 6
    15 4 9
    1 5 9
    2 5 10
    3 5 4
    4 5 4
    5 5 6
    6 5 1
    7 5 4
    8 5 4
    9 5 2
    10 5 5
    11 5 6
    12 5 10
    13 5 4
    14 5 6
    15 5 9
    1 6 5
    2 6 5
    3 6 2
    4 6 2
    5 6 3
    6 6 1
    7 6 2
    8 6 2
    9 6 1
    10 6 3
    11 6 3
    12 6 5
    13 6 2
    14 6 3
    15 6 5
    1 7 5
    2 7 5
    3 7 2
    4 7 2
    5 7 3
    6 7 1
    7 7 2
    8 7 2
    9 7 1
    10 7 3
    11 7 3
    12 7 5
    13 7 2
    14 7 3
    15 7 5
    1 8 5
    2 8 5
    3 8 2
    4 8 2
    5 8 3
    6 8 1
    7 8 2
    8 8 2
    9 8 1
    10 8 3
    11 8 3
    12 8 5
    13 8 2
    14 8 3
    15 8 5
    1 9 2
    2 9 2
    3 9 2
    4 9 2
    5 9 2
    6 9 1
    7 9 2
    8 9 2
    9 9 1
    10 9 1
    11 9 2
    12 9 3
    13 9 2
    14 9 2
    15 9 2
    1 10 2
    2 10 2
    3 10 2
    4 10 2
    5 10 2
    6 10 1
    7 10 2
    8 10 2
    9 10 1
    10 10 1
    11 10 2
    12 10 3
    13 10 2
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
