set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 9
    2 7
    3 6
    4 10
    5 10
    6 12
    7 11
    8 2
    9 8
    10 10
    11 9
    12 8
    13 10
    14 9
    15 11
 ;

param depart := 
    1 20
    2 22
    3 17
    4 17
    5 18
    6 22
    7 22
    8 19
    9 21
    10 18
    11 19
    12 18
    13 18
    14 21
    15 17
 ;

param TFC := 
    1 1 2
    2 1 8
    3 1 10
    4 1 3
    5 1 4
    6 1 4
    7 1 3
    8 1 3
    9 1 9
    10 1 3
    11 1 4
    12 1 3
    13 1 4
    14 1 5
    15 1 4
    1 2 2
    2 2 8
    3 2 10
    4 2 3
    5 2 4
    6 2 4
    7 2 3
    8 2 3
    9 2 9
    10 2 3
    11 2 4
    12 2 3
    13 2 4
    14 2 5
    15 2 4
    1 3 2
    2 3 8
    3 3 10
    4 3 3
    5 3 4
    6 3 4
    7 3 3
    8 3 3
    9 3 9
    10 3 3
    11 3 4
    12 3 3
    13 3 4
    14 3 5
    15 3 4
    1 4 2
    2 4 8
    3 4 10
    4 4 3
    5 4 4
    6 4 4
    7 4 3
    8 4 3
    9 4 9
    10 4 3
    11 4 4
    12 4 3
    13 4 4
    14 4 5
    15 4 4
    1 5 2
    2 5 8
    3 5 10
    4 5 3
    5 5 4
    6 5 4
    7 5 3
    8 5 3
    9 5 9
    10 5 3
    11 5 4
    12 5 3
    13 5 4
    14 5 5
    15 5 4
    1 6 1
    2 6 4
    3 6 5
    4 6 2
    5 6 2
    6 6 2
    7 6 2
    8 6 2
    9 6 5
    10 6 2
    11 6 2
    12 6 2
    13 6 2
    14 6 3
    15 6 2
    1 7 1
    2 7 4
    3 7 5
    4 7 2
    5 7 2
    6 7 2
    7 7 2
    8 7 2
    9 7 5
    10 7 2
    11 7 2
    12 7 2
    13 7 2
    14 7 3
    15 7 2
    1 8 1
    2 8 4
    3 8 5
    4 8 2
    5 8 2
    6 8 2
    7 8 2
    8 8 2
    9 8 5
    10 8 2
    11 8 2
    12 8 2
    13 8 2
    14 8 3
    15 8 2
    1 9 1
    2 9 2
    3 9 3
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 2
    9 9 2
    10 9 2
    11 9 2
    12 9 1
    13 9 2
    14 9 1
    15 9 2
    1 10 1
    2 10 2
    3 10 3
    4 10 2
    5 10 2
    6 10 2
    7 10 2
    8 10 2
    9 10 2
    10 10 2
    11 10 2
    12 10 1
    13 10 2
    14 10 1
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
