set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 6
    2 12
    3 10
    4 8
    5 7
    6 10
    7 10
    8 10
    9 10
    10 10
    11 11
    12 11
    13 11
    14 15
    15 6
 ;

param depart := 
    1 18
    2 19
    3 23
    4 19
    5 20
    6 20
    7 16
    8 20
    9 19
    10 19
    11 18
    12 19
    13 19
    14 18
    15 21
 ;

param TFC := 
    1 1 6
    2 1 6
    3 1 1
    4 1 1
    5 1 4
    6 1 4
    7 1 5
    8 1 4
    9 1 12
    10 1 6
    11 1 6
    12 1 4
    13 1 2
    14 1 7
    15 1 2
    1 2 6
    2 2 6
    3 2 1
    4 2 1
    5 2 4
    6 2 4
    7 2 5
    8 2 4
    9 2 12
    10 2 6
    11 2 6
    12 2 4
    13 2 2
    14 2 7
    15 2 2
    1 3 6
    2 3 6
    3 3 1
    4 3 1
    5 3 4
    6 3 4
    7 3 5
    8 3 4
    9 3 12
    10 3 6
    11 3 6
    12 3 4
    13 3 2
    14 3 7
    15 3 2
    1 4 6
    2 4 6
    3 4 1
    4 4 1
    5 4 4
    6 4 4
    7 4 5
    8 4 4
    9 4 12
    10 4 6
    11 4 6
    12 4 4
    13 4 2
    14 4 7
    15 4 2
    1 5 6
    2 5 6
    3 5 1
    4 5 1
    5 5 4
    6 5 4
    7 5 5
    8 5 4
    9 5 12
    10 5 6
    11 5 6
    12 5 4
    13 5 2
    14 5 7
    15 5 2
    1 6 3
    2 6 3
    3 6 1
    4 6 1
    5 6 2
    6 6 2
    7 6 3
    8 6 2
    9 6 6
    10 6 3
    11 6 3
    12 6 2
    13 6 1
    14 6 4
    15 6 1
    1 7 3
    2 7 3
    3 7 1
    4 7 1
    5 7 2
    6 7 2
    7 7 3
    8 7 2
    9 7 6
    10 7 3
    11 7 3
    12 7 2
    13 7 1
    14 7 4
    15 7 1
    1 8 3
    2 8 3
    3 8 1
    4 8 1
    5 8 2
    6 8 2
    7 8 3
    8 8 2
    9 8 6
    10 8 3
    11 8 3
    12 8 2
    13 8 1
    14 8 4
    15 8 1
    1 9 2
    2 9 2
    3 9 1
    4 9 1
    5 9 2
    6 9 2
    7 9 1
    8 9 2
    9 9 3
    10 9 2
    11 9 2
    12 9 2
    13 9 1
    14 9 2
    15 9 1
    1 10 2
    2 10 2
    3 10 1
    4 10 1
    5 10 2
    6 10 2
    7 10 1
    8 10 2
    9 10 3
    10 10 2
    11 10 2
    12 10 2
    13 10 1
    14 10 2
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
