NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
1,Sedan,19,33,6.0,3,7.86,6.0,22.8,18.0,5.938,0,19,23,20.02,1.22,4.62,0.94,0.96,20,22
3,SUV,18,30,13.5,7,12.471,13.5,51.3,40.5,15.242,0,18,23,12.39,2.01,4.62,1.01,0.961,21,21
1,Small,17,29,4.0,3,9.593,4.0,15.2,12.0,57.822,0,29,39,15.82,2.38,4.66,1.21,0.974,21,23
3,Small,17,32,4.0,3,6.135,4.0,15.2,12.0,3.045,0,17,23,14.7,2.81,4.69,0.94,0.976,19,23
5,Sedan,20,33,6.0,3,10.902,6.0,22.8,18.0,3.045,0,33,39,30.79,1.78,4.74,0.92,0.982,19,22
1,Sedan,19,33,6.0,7,5.809,6.0,22.8,18.0,24.344,0,29,33,22.33,1.66,4.74,0.92,0.973,20,22
2,Sedan,21,31,6.0,7,8.326,6.0,22.8,18.0,57.822,0,21,23,18.59,1.47,4.61,0.99,0.964,20,21
3,SUV,22,31,13.5,7,13.867,13.5,51.3,40.5,3.045,0,31,39,48.24,2.74,4.71,0.94,0.992,21,23
3,Small,19,34,4.0,3,8.834,4.0,15.2,12.0,86.377,0,29,34,24.97,2.66,4.66,0.92,0.985,19,22
3,SUV,19,29,13.5,3,15.641,13.5,51.3,40.5,15.242,0,29,39,42.85,2.26,4.69,1.09,0.99,20,21
3,Sedan,18,30,6.0,3,5.369,6.0,22.8,18.0,15.242,0,18,23,39.42,2.23,4.62,1.15,0.989,20,23
4,Truck,19,30,17.5,7,15.676,17.5,66.5,52.5,3.045,0,19,23,34.59,0.56,4.69,1.05,0.95,20,23
4,Sedan,20,32,6.0,7,11.274,6.0,22.8,18.0,86.377,0,29,32,39.46,1.23,4.65,0.95,0.98,20,22
2,Small,18,34,4.0,3,8.796,4.0,15.2,12.0,86.377,0,18,23,14.43,3.12,4.7,1.05,0.978,21,23
5,Sedan,17,31,6.0,7,14.02,6.0,22.8,18.0,5.938,0,17,23,39.03,2.41,4.7,0.93,0.989,21,21
2,SUV,19,32,13.5,7,11.733,13.5,51.3,40.5,86.377,0,29,32,40.01,2.12,4.69,1.2,0.988,20,21
5,SUV,17,30,13.5,3,9.996,13.5,51.3,40.5,24.344,0,30,39,31.97,2.21,4.76,1.2,0.986,19,22
4,Sedan,21,35,6.0,7,2.2,6.0,22.8,18.0,57.822,0,21,23,25.2,2.51,4.79,0.96,0.984,21,22
3,Sedan,18,31,6.0,3,11.616,6.0,22.8,18.0,83.097,0,31,39,36.57,3.14,4.7,0.91,0.991,19,23
1,Sedan,19,33,6.0,7,14.909,6.0,22.8,18.0,86.377,0,29,33,23.77,1.58,4.65,1.08,0.974,19,22
4,Truck,20,32,17.5,3,7.589,17.5,66.5,52.5,15.242,0,20,23,11.34,1.35,4.7,0.93,0.937,21,22
2,Sedan,22,32,6.0,7,2.484,6.0,22.8,18.0,3.045,0,32,39,46.3,1.01,4.71,0.9,0.979,20,21
5,SUV,19,30,13.5,7,5.272,13.5,51.3,40.5,86.377,0,19,23,31.43,2.28,4.64,1.11,0.986,19,23
1,Sedan,18,30,6.0,7,11.614,6.0,22.8,18.0,3.045,0,18,23,25.98,1.7,4.67,1.03,0.978,21,22
3,Sedan,22,32,6.0,7,11.323,6.0,22.8,18.0,3.045,0,29,32,9.9,2.95,4.73,1.04,0.966,21,21
1,Sedan,21,31,6.0,3,11.763,6.0,22.8,18.0,15.242,0,21,23,43.03,1.31,4.73,1.09,0.982,19,23
4,Sedan,16,31,6.0,7,13.014,6.0,22.8,18.0,57.822,0,16,23,39.39,2.71,4.65,1.02,0.991,20,21
1,Sedan,22,30,6.0,3,11.14,6.0,22.8,18.0,83.097,0,30,39,37.39,0.9,4.73,1.05,0.971,20,22
4,Small,23,31,4.0,7,6.18,4.0,15.2,12.0,15.242,0,31,39,11.6,1.16,4.73,1.22,0.928,21,22
1,Small,21,31,5.0,7,13.527,4.0,15.2,11.0,83.097,0,31,39,31.23,2.35,4.69,1.02,0.986,20,21
1,Truck,17,29,17.5,3,11.362,17.5,66.5,52.5,15.242,0,29,39,16.58,1.34,4.62,0.95,0.956,21,21
3,Small,22,30,4.0,7,7.049,4.0,15.2,12.0,10.783,0,30,39,36.03,3.33,4.78,1.09,0.992,19,22
2,Sedan,17,32,6.0,3,12.364,6.0,22.8,18.0,83.097,0,29,32,26.11,1.45,4.75,1.21,0.974,19,23
5,Sedan,24,34,6.0,3,7.42,6.0,22.8,18.0,15.242,0,29,34,31.29,1.59,4.64,0.91,0.98,21,23
1,SUV,17,33,13.5,3,13.054,13.5,51.3,40.5,3.045,0,29,33,10.73,2.4,4.69,1.18,0.962,21,22
1,SUV,19,29,13.5,3,3.359,13.5,51.3,40.5,57.822,0,19,23,33.83,2.86,4.64,1.04,0.99,20,21
4,Small,20,34,4.0,3,7.399,4.0,15.2,12.0,5.938,0,20,23,20.22,0.73,4.78,1.04,0.934,19,22
4,Sedan,22,33,6.0,3,11.398,6.0,22.8,18.0,15.242,0,33,39,40.58,0.74,4.63,1.15,0.967,20,21
4,Sedan,19,35,6.0,7,10.489,6.0,22.8,18.0,3.045,0,35,39,49.79,1.65,4.7,1.12,0.988,20,22
4,SUV,17,31,13.5,3,10.522,13.5,51.3,40.5,83.097,0,17,23,10.17,1.85,4.64,1.0,0.948,21,22
5,SUV,22,30,13.5,3,16.97,13.5,51.3,40.5,10.783,0,30,39,14.78,2.93,4.6,0.95,0.977,19,22
5,SUV,22,30,13.5,7,4.941,13.5,51.3,40.5,86.377,0,30,39,9.18,2.81,4.79,1.14,0.962,20,22
1,Small,19,34,4.0,7,10.464,4.0,15.2,12.0,57.822,0,34,39,38.58,2.95,4.78,1.11,0.991,19,21
2,SUV,18,30,13.5,3,7.285,13.5,51.3,40.5,24.344,0,30,39,42.57,0.69,4.65,1.24,0.967,19,22
5,Small,16,30,4.0,7,6.877,4.0,15.2,12.0,57.822,0,30,39,8.64,0.51,4.63,1.1,0.797,21,21
5,Sedan,21,31,6.0,7,11.943,6.0,22.8,18.0,86.377,0,21,23,37.02,2.28,4.73,1.24,0.988,20,21
2,Sedan,22,33,6.0,3,7.766,6.0,22.8,18.0,86.377,0,29,33,33.71,1.44,4.8,1.12,0.98,19,23
5,Sedan,17,30,6.0,7,7.024,6.0,22.8,18.0,83.097,0,30,39,36.81,3.05,4.68,1.23,0.991,21,22
2,Sedan,16,32,6.0,7,14.37,6.0,22.8,18.0,83.097,0,29,32,27.44,3.43,4.61,1.24,0.989,21,23
1,Small,18,30,6.0,3,15.099,4.0,15.2,10.0,10.783,0,30,39,18.9,2.09,4.65,1.09,0.975,21,22
5,Sedan,21,33,6.0,7,10.183,6.0,22.8,18.0,3.045,0,21,23,10.29,1.4,4.65,1.13,0.933,20,21
4,Sedan,18,31,6.0,7,8.502,6.0,22.8,18.0,24.344,0,18,23,33.22,1.09,4.66,0.9,0.973,21,22
5,Small,20,30,4.0,7,3.084,4.0,15.2,12.0,57.822,0,20,23,43.57,3.42,4.65,0.96,0.993,19,21
4,Small,17,31,6.0,7,16.836,4.0,15.2,10.0,24.344,0,17,23,28.56,3.51,4.7,1.11,0.99,21,21
2,SUV,19,30,13.5,7,7.382,13.5,51.3,40.5,57.822,0,30,39,43.48,1.36,4.66,1.07,0.983,19,21
1,SUV,16,29,13.5,7,7.951,13.5,51.3,40.5,57.822,0,29,39,14.27,1.65,4.63,0.94,0.958,21,22
3,Sedan,18,32,6.0,7,12.848,6.0,22.8,18.0,10.783,0,29,32,20.75,2.12,4.62,1.1,0.978,21,23
5,SUV,20,32,13.5,3,6.469,13.5,51.3,40.5,3.045,0,20,23,9.41,2.81,4.73,1.23,0.963,21,23
2,Sedan,20,32,6.0,3,7.783,6.0,22.8,18.0,3.045,0,29,32,43.94,2.13,4.66,0.99,0.989,20,22
2,Small,19,32,4.0,3,11.044,4.0,15.2,12.0,15.242,0,32,39,49.06,2.05,4.68,1.16,0.99,20,21
5,Small,18,36,4.0,7,10.987,4.0,15.2,12.0,10.783,0,18,23,12.75,0.81,4.6,1.23,0.908,21,22
