NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
4,SUV,23,32,13.5,7,17.28,13.5,51.3,40.5,10.783,0,32,39,37.89,1.5,4.6,1.21,0.983,20,22
4,Small,20,31,4.0,7,10.912,4.0,15.2,12.0,57.822,0,31,39,21.85,1.47,4.66,1.16,0.969,21,21
5,SUV,23,31,13.5,7,12.528,13.5,51.3,40.5,57.822,0,31,39,35.47,1.9,4.69,1.09,0.985,20,21
5,Small,21,35,4.0,7,10.722,4.0,15.2,12.0,5.938,0,21,23,33.17,1.24,4.61,0.97,0.976,19,21
3,Sedan,20,30,6.0,7,12.864,6.0,22.8,18.0,57.822,0,20,23,12.36,2.22,4.68,1.13,0.964,20,23
3,Small,21,30,5.0,3,12.953,4.0,15.2,11.0,24.344,0,30,39,50.05,3.51,4.65,1.01,0.994,20,22
5,Truck,18,33,17.5,7,5.331,17.5,66.5,52.5,10.783,0,18,23,11.81,2.54,4.74,1.06,0.967,19,23
2,Small,20,32,4.0,7,7.063,4.0,15.2,12.0,15.242,0,20,23,7.96,3.33,4.75,0.95,0.963,19,23
1,Small,21,30,4.0,7,6.472,4.0,15.2,12.0,5.938,0,21,23,36.18,3.36,4.62,0.96,0.992,21,22
2,SUV,18,32,13.5,3,2.485,13.5,51.3,40.5,10.783,0,32,39,24.24,0.9,4.69,1.2,0.955,19,22
3,SUV,18,32,13.5,3,7.509,13.5,51.3,40.5,86.377,0,29,32,12.78,2.38,4.68,1.13,0.968,20,22
3,Truck,16,30,17.5,3,7.149,17.5,66.5,52.5,57.822,0,16,23,8.45,0.98,4.69,1.19,0.886,20,22
1,SUV,21,34,13.5,3,5.061,13.5,51.3,40.5,86.377,0,34,39,8.59,3.03,4.66,1.21,0.962,21,21
5,Small,20,31,4.0,3,5.414,4.0,15.2,12.0,15.242,0,20,23,40.97,3.38,4.75,1.21,0.993,21,21
5,Truck,21,31,17.5,3,11.078,17.5,66.5,52.5,5.938,0,21,23,42.89,2.0,4.62,0.95,0.988,19,21
3,Sedan,19,31,7.0,3,16.071,6.0,22.8,17.0,3.045,0,31,39,18.95,3.13,4.61,0.99,0.983,21,22
3,Truck,23,34,17.5,3,15.717,17.5,66.5,52.5,83.097,0,29,34,29.4,3.0,4.73,1.01,0.989,21,23
1,Small,18,31,6.0,3,15.946,4.0,15.2,10.0,24.344,0,31,39,36.97,3.26,4.72,1.14,0.992,20,22
5,SUV,20,32,13.5,7,11.775,13.5,51.3,40.5,86.377,0,29,32,41.67,3.38,4.7,0.91,0.993,21,22
4,Small,17,32,4.0,3,11.358,4.0,15.2,12.0,3.045,0,17,23,23.71,2.19,4.68,1.07,0.981,21,23
3,Small,20,31,4.0,7,4.301,4.0,15.2,12.0,24.344,0,31,39,39.21,1.27,4.63,1.16,0.98,21,23
1,SUV,19,33,13.5,7,7.459,13.5,51.3,40.5,83.097,0,19,23,27.81,2.75,4.75,1.02,0.987,20,21
5,Small,19,31,6.0,3,15.23,4.0,15.2,10.0,3.045,0,19,23,42.77,2.62,4.7,1.01,0.991,21,23
3,Small,18,29,4.0,3,6.447,4.0,15.2,12.0,10.783,0,29,39,30.53,0.65,4.72,1.08,0.951,19,23
2,Truck,21,33,17.5,3,4.323,17.5,66.5,52.5,5.938,0,29,33,38.7,1.64,4.78,0.93,0.984,20,22
1,Small,17,31,4.0,7,5.372,4.0,15.2,12.0,83.097,0,17,23,19.01,3.11,4.79,1.16,0.983,21,21
1,Sedan,20,32,6.0,3,7.919,6.0,22.8,18.0,15.242,0,29,32,29.3,2.22,4.61,1.12,0.985,20,22
4,Truck,20,30,17.5,7,7.465,17.5,66.5,52.5,24.344,0,30,39,24.03,0.72,4.8,0.95,0.944,19,21
5,Sedan,19,33,6.0,3,9.055,6.0,22.8,18.0,15.242,0,29,33,42.17,0.53,4.7,1.0,0.956,20,23
5,Sedan,19,30,6.0,7,5.186,6.0,22.8,18.0,57.822,0,30,39,34.32,1.29,4.61,1.13,0.978,20,21
4,Sedan,22,30,6.0,7,6.93,6.0,22.8,18.0,5.938,0,30,39,11.47,1.65,4.7,1.11,0.949,21,22
3,Sedan,20,32,6.0,7,9.784,6.0,22.8,18.0,83.097,0,29,32,33.91,0.58,4.67,1.11,0.95,20,23
5,Truck,18,31,17.5,3,10.791,17.5,66.5,52.5,83.097,0,18,23,25.2,3.44,4.65,1.13,0.989,19,22
4,SUV,18,34,13.5,3,5.65,13.5,51.3,40.5,86.377,0,18,23,46.69,3.21,4.65,1.04,0.993,20,21
5,Small,18,31,4.0,3,5.451,4.0,15.2,12.0,24.344,0,18,23,47.88,0.73,4.64,1.25,0.972,21,21
4,Small,21,32,4.0,3,8.984,4.0,15.2,12.0,86.377,0,21,23,6.86,3.03,4.78,1.24,0.953,20,22
3,Sedan,20,31,6.0,3,12.517,6.0,22.8,18.0,83.097,0,31,39,45.71,0.61,4.79,1.01,0.965,21,21
