NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
4,Small,22,35,6.0,3,15.062,4.0,15.2,10.0,15.242,0,35,39,13.89,1.12,4.69,1.07,0.938,20,23
3,SUV,22,34,13.5,3,11.326,13.5,51.3,40.5,5.938,0,34,39,43.9,1.31,4.73,1.02,0.983,21,21
5,Small,20,30,6.0,3,14.609,4.0,15.2,10.0,10.783,0,30,39,43.52,2.92,4.71,1.17,0.992,19,22
5,SUV,17,30,13.5,3,11.666,13.5,51.3,40.5,24.344,0,17,23,44.38,0.78,4.72,0.96,0.972,21,21
3,SUV,19,32,13.5,7,8.53,13.5,51.3,40.5,86.377,0,19,23,10.94,0.73,4.67,0.99,0.882,20,21
2,Sedan,19,30,6.0,7,11.513,6.0,22.8,18.0,10.783,0,19,23,18.22,1.82,4.73,0.96,0.97,21,23
3,Sedan,23,33,6.0,3,6.205,6.0,22.8,18.0,3.045,0,29,33,8.54,1.52,4.75,0.93,0.926,21,23
4,Sedan,19,30,6.0,7,10.817,6.0,22.8,18.0,57.822,0,30,39,44.58,3.57,4.64,1.09,0.994,21,23
3,Sedan,17,35,6.0,3,2.086,6.0,22.8,18.0,86.377,0,35,39,28.28,2.65,4.66,1.11,0.987,20,22
1,Small,21,34,4.0,3,6.18,4.0,15.2,12.0,86.377,0,29,34,45.04,3.21,4.64,1.21,0.993,19,21
5,Small,19,32,4.0,7,5.924,4.0,15.2,12.0,3.045,0,29,32,46.56,3.02,4.76,1.25,0.993,19,22
3,Sedan,18,29,6.0,3,8.129,6.0,22.8,18.0,15.242,0,18,23,8.87,2.03,4.75,1.07,0.946,19,23
5,Sedan,22,31,6.0,7,6.482,6.0,22.8,18.0,15.242,0,31,39,16.32,1.9,4.63,1.03,0.968,20,21
5,Small,18,29,5.0,7,12.506,4.0,15.2,11.0,86.377,0,18,23,19.83,1.46,4.8,1.0,0.966,21,23
1,Sedan,20,30,6.0,3,11.524,6.0,22.8,18.0,3.045,0,20,23,21.92,1.73,4.61,1.14,0.974,20,23
3,Sedan,18,30,6.0,3,4.481,6.0,22.8,18.0,57.822,0,30,39,33.26,0.71,4.7,1.08,0.959,20,23
1,SUV,19,30,13.5,7,9.76,13.5,51.3,40.5,86.377,0,30,39,49.64,3.26,4.72,1.03,0.994,20,23
1,Sedan,20,30,6.0,3,8.896,6.0,22.8,18.0,10.783,0,30,39,33.44,0.7,4.65,1.18,0.958,19,22
5,SUV,19,30,13.5,7,14.628,13.5,51.3,40.5,10.783,0,19,23,12.42,1.59,4.64,1.13,0.951,19,22
5,Small,20,33,5.0,7,14.35,4.0,15.2,11.0,10.783,0,20,23,37.21,1.18,4.71,1.07,0.977,19,23
5,Small,20,31,4.0,3,9.663,4.0,15.2,12.0,57.822,0,20,23,10.87,1.83,4.77,1.0,0.951,20,22
2,SUV,19,32,13.5,3,13.994,13.5,51.3,40.5,83.097,0,29,32,19.83,2.53,4.62,1.07,0.98,19,23
1,Truck,18,32,17.5,7,10.886,17.5,66.5,52.5,83.097,0,32,39,40.64,2.2,4.69,0.98,0.989,21,22
2,Small,20,30,4.0,3,8.343,4.0,15.2,12.0,86.377,0,20,23,42.9,2.28,4.75,1.21,0.99,19,23
