set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 7
    3 12
    4 9
    5 7
    6 6
    7 10
    8 10
    9 11
    10 6
    11 11
    12 9
    13 9
    14 6
    15 11
 ;

param depart := 
    1 20
    2 20
    3 24
    4 20
    5 21
    6 17
    7 19
    8 16
    9 19
    10 19
    11 21
    12 20
    13 20
    14 19
    15 18
 ;

param TFC := 
    1 1 4
    2 1 1
    3 1 7
    4 1 4
    5 1 8
    6 1 6
    7 1 4
    8 1 8
    9 1 4
    10 1 3
    11 1 4
    12 1 5
    13 1 5
    14 1 6
    15 1 5
    1 2 4
    2 2 1
    3 2 7
    4 2 4
    5 2 8
    6 2 6
    7 2 4
    8 2 8
    9 2 4
    10 2 3
    11 2 4
    12 2 5
    13 2 5
    14 2 6
    15 2 5
    1 3 4
    2 3 1
    3 3 7
    4 3 4
    5 3 8
    6 3 6
    7 3 4
    8 3 8
    9 3 4
    10 3 3
    11 3 4
    12 3 5
    13 3 5
    14 3 6
    15 3 5
    1 4 4
    2 4 1
    3 4 7
    4 4 4
    5 4 8
    6 4 6
    7 4 4
    8 4 8
    9 4 4
    10 4 3
    11 4 4
    12 4 5
    13 4 5
    14 4 6
    15 4 5
    1 5 4
    2 5 1
    3 5 7
    4 5 4
    5 5 8
    6 5 6
    7 5 4
    8 5 8
    9 5 4
    10 5 3
    11 5 4
    12 5 5
    13 5 5
    14 5 6
    15 5 5
    1 6 2
    2 6 1
    3 6 4
    4 6 2
    5 6 4
    6 6 3
    7 6 2
    8 6 4
    9 6 2
    10 6 2
    11 6 2
    12 6 3
    13 6 3
    14 6 3
    15 6 3
    1 7 2
    2 7 1
    3 7 4
    4 7 2
    5 7 4
    6 7 3
    7 7 2
    8 7 4
    9 7 2
    10 7 2
    11 7 2
    12 7 3
    13 7 3
    14 7 3
    15 7 3
    1 8 2
    2 8 1
    3 8 4
    4 8 2
    5 8 4
    6 8 3
    7 8 2
    8 8 4
    9 8 2
    10 8 2
    11 8 2
    12 8 3
    13 8 3
    14 8 3
    15 8 3
    1 9 2
    2 9 1
    3 9 2
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 2
    9 9 2
    10 9 2
    11 9 2
    12 9 1
    13 9 1
    14 9 2
    15 9 1
    1 10 2
    2 10 1
    3 10 2
    4 10 2
    5 10 2
    6 10 2
    7 10 2
    8 10 2
    9 10 2
    10 10 2
    11 10 2
    12 10 1
    13 10 1
    14 10 2
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
