set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 11
    2 7
    3 8
    4 10
    5 10
    6 10
    7 12
    8 8
    9 11
    10 8
    11 5
    12 10
    13 7
    14 9
    15 8
 ;

param depart := 
    1 19
    2 22
    3 16
    4 21
    5 19
    6 20
    7 20
    8 22
    9 17
    10 22
    11 18
    12 21
    13 20
    14 22
    15 21
 ;

param TFC := 
    1 1 7
    2 1 4
    3 1 5
    4 1 4
    5 1 4
    6 1 4
    7 1 7
    8 1 6
    9 1 12
    10 1 2
    11 1 3
    12 1 7
    13 1 3
    14 1 5
    15 1 6
    1 2 7
    2 2 4
    3 2 5
    4 2 4
    5 2 4
    6 2 4
    7 2 7
    8 2 6
    9 2 12
    10 2 2
    11 2 3
    12 2 7
    13 2 3
    14 2 5
    15 2 6
    1 3 7
    2 3 4
    3 3 5
    4 3 4
    5 3 4
    6 3 4
    7 3 7
    8 3 6
    9 3 12
    10 3 2
    11 3 3
    12 3 7
    13 3 3
    14 3 5
    15 3 6
    1 4 7
    2 4 4
    3 4 5
    4 4 4
    5 4 4
    6 4 4
    7 4 7
    8 4 6
    9 4 12
    10 4 2
    11 4 3
    12 4 7
    13 4 3
    14 4 5
    15 4 6
    1 5 7
    2 5 4
    3 5 5
    4 5 4
    5 5 4
    6 5 4
    7 5 7
    8 5 6
    9 5 12
    10 5 2
    11 5 3
    12 5 7
    13 5 3
    14 5 5
    15 5 6
    1 6 4
    2 6 2
    3 6 3
    4 6 2
    5 6 2
    6 6 2
    7 6 4
    8 6 3
    9 6 6
    10 6 1
    11 6 2
    12 6 4
    13 6 2
    14 6 3
    15 6 3
    1 7 4
    2 7 2
    3 7 3
    4 7 2
    5 7 2
    6 7 2
    7 7 4
    8 7 3
    9 7 6
    10 7 1
    11 7 2
    12 7 4
    13 7 2
    14 7 3
    15 7 3
    1 8 4
    2 8 2
    3 8 3
    4 8 2
    5 8 2
    6 8 2
    7 8 4
    8 8 3
    9 8 6
    10 8 1
    11 8 2
    12 8 4
    13 8 2
    14 8 3
    15 8 3
    1 9 2
    2 9 1
    3 9 1
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 2
    9 9 3
    10 9 1
    11 9 2
    12 9 2
    13 9 2
    14 9 2
    15 9 2
    1 10 2
    2 10 1
    3 10 1
    4 10 2
    5 10 2
    6 10 2
    7 10 2
    8 10 2
    9 10 3
    10 10 1
    11 10 2
    12 10 2
    13 10 2
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
