set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 11
    3 9
    4 7
    5 9
    6 9
    7 8
    8 10
    9 6
    10 7
    11 11
    12 9
    13 9
    14 7
    15 5
 ;

param depart := 
    1 21
    2 21
    3 21
    4 18
    5 19
    6 20
    7 23
    8 17
    9 18
    10 18
    11 21
    12 22
    13 17
    14 20
    15 18
 ;

param TFC := 
    1 1 5
    2 1 1
    3 1 3
    4 1 6
    5 1 8
    6 1 7
    7 1 2
    8 1 14
    9 1 6
    10 1 4
    11 1 4
    12 1 9
    13 1 6
    14 1 4
    15 1 10
    1 2 5
    2 2 1
    3 2 3
    4 2 6
    5 2 8
    6 2 7
    7 2 2
    8 2 14
    9 2 6
    10 2 4
    11 2 4
    12 2 9
    13 2 6
    14 2 4
    15 2 10
    1 3 5
    2 3 1
    3 3 3
    4 3 6
    5 3 8
    6 3 7
    7 3 2
    8 3 14
    9 3 6
    10 3 4
    11 3 4
    12 3 9
    13 3 6
    14 3 4
    15 3 10
    1 4 5
    2 4 1
    3 4 3
    4 4 6
    5 4 8
    6 4 7
    7 4 2
    8 4 14
    9 4 6
    10 4 4
    11 4 4
    12 4 9
    13 4 6
    14 4 4
    15 4 10
    1 5 5
    2 5 1
    3 5 3
    4 5 6
    5 5 8
    6 5 7
    7 5 2
    8 5 14
    9 5 6
    10 5 4
    11 5 4
    12 5 9
    13 5 6
    14 5 4
    15 5 10
    1 6 3
    2 6 1
    3 6 2
    4 6 3
    5 6 4
    6 6 4
    7 6 1
    8 6 7
    9 6 3
    10 6 2
    11 6 2
    12 6 5
    13 6 3
    14 6 2
    15 6 5
    1 7 3
    2 7 1
    3 7 2
    4 7 3
    5 7 4
    6 7 4
    7 7 1
    8 7 7
    9 7 3
    10 7 2
    11 7 2
    12 7 5
    13 7 3
    14 7 2
    15 7 5
    1 8 3
    2 8 1
    3 8 2
    4 8 3
    5 8 4
    6 8 4
    7 8 1
    8 8 7
    9 8 3
    10 8 2
    11 8 2
    12 8 5
    13 8 3
    14 8 2
    15 8 5
    1 9 1
    2 9 1
    3 9 1
    4 9 2
    5 9 2
    6 9 2
    7 9 1
    8 9 3
    9 9 2
    10 9 2
    11 9 1
    12 9 2
    13 9 2
    14 9 2
    15 9 2
    1 10 1
    2 10 1
    3 10 1
    4 10 2
    5 10 2
    6 10 2
    7 10 1
    8 10 3
    9 10 2
    10 10 2
    11 10 1
    12 10 2
    13 10 2
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
