set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 9
    3 8
    4 11
    5 6
    6 14
    7 8
    8 11
    9 13
    10 8
    11 9
    12 10
    13 11
    14 7
    15 8
 ;

param depart := 
    1 24
    2 17
    3 21
    4 16
    5 21
    6 18
    7 18
    8 20
    9 22
    10 23
    11 21
    12 19
    13 17
    14 19
    15 21
 ;

param TFC := 
    1 1 2
    2 1 3
    3 1 4
    4 1 12
    5 1 2
    6 1 6
    7 1 6
    8 1 4
    9 1 5
    10 1 6
    11 1 4
    12 1 6
    13 1 6
    14 1 10
    15 1 6
    1 2 2
    2 2 3
    3 2 4
    4 2 12
    5 2 2
    6 2 6
    7 2 6
    8 2 4
    9 2 5
    10 2 6
    11 2 4
    12 2 6
    13 2 6
    14 2 10
    15 2 6
    1 3 2
    2 3 3
    3 3 4
    4 3 12
    5 3 2
    6 3 6
    7 3 6
    8 3 4
    9 3 5
    10 3 6
    11 3 4
    12 3 6
    13 3 6
    14 3 10
    15 3 6
    1 4 2
    2 4 3
    3 4 4
    4 4 12
    5 4 2
    6 4 6
    7 4 6
    8 4 4
    9 4 5
    10 4 6
    11 4 4
    12 4 6
    13 4 6
    14 4 10
    15 4 6
    1 5 2
    2 5 3
    3 5 4
    4 5 12
    5 5 2
    6 5 6
    7 5 6
    8 5 4
    9 5 5
    10 5 6
    11 5 4
    12 5 6
    13 5 6
    14 5 10
    15 5 6
    1 6 1
    2 6 2
    3 6 2
    4 6 6
    5 6 1
    6 6 3
    7 6 3
    8 6 2
    9 6 3
    10 6 3
    11 6 2
    12 6 3
    13 6 3
    14 6 5
    15 6 3
    1 7 1
    2 7 2
    3 7 2
    4 7 6
    5 7 1
    6 7 3
    7 7 3
    8 7 2
    9 7 3
    10 7 3
    11 7 2
    12 7 3
    13 7 3
    14 7 5
    15 7 3
    1 8 1
    2 8 2
    3 8 2
    4 8 6
    5 8 1
    6 8 3
    7 8 3
    8 8 2
    9 8 3
    10 8 3
    11 8 2
    12 8 3
    13 8 3
    14 8 5
    15 8 3
    1 9 1
    2 9 2
    3 9 1
    4 9 3
    5 9 1
    6 9 2
    7 9 2
    8 9 2
    9 9 1
    10 9 2
    11 9 2
    12 9 2
    13 9 2
    14 9 2
    15 9 2
    1 10 1
    2 10 2
    3 10 1
    4 10 3
    5 10 1
    6 10 2
    7 10 2
    8 10 2
    9 10 1
    10 10 2
    11 10 2
    12 10 2
    13 10 2
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
