set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 8
    3 10
    4 7
    5 7
    6 6
    7 10
    8 10
    9 9
    10 7
    11 10
    12 8
    13 5
    14 5
    15 14
 ;

param depart := 
    1 18
    2 17
    3 23
    4 20
    5 17
    6 20
    7 19
    8 20
    9 18
    10 21
    11 20
    12 18
    13 22
    14 17
    15 20
 ;

param TFC := 
    1 1 2
    2 1 3
    3 1 6
    4 1 5
    5 1 4
    6 1 9
    7 1 4
    8 1 6
    9 1 7
    10 1 8
    11 1 2
    12 1 5
    13 1 5
    14 1 4
    15 1 1
    1 2 2
    2 2 3
    3 2 6
    4 2 5
    5 2 4
    6 2 9
    7 2 4
    8 2 6
    9 2 7
    10 2 8
    11 2 2
    12 2 5
    13 2 5
    14 2 4
    15 2 1
    1 3 2
    2 3 3
    3 3 6
    4 3 5
    5 3 4
    6 3 9
    7 3 4
    8 3 6
    9 3 7
    10 3 8
    11 3 2
    12 3 5
    13 3 5
    14 3 4
    15 3 1
    1 4 2
    2 4 3
    3 4 6
    4 4 5
    5 4 4
    6 4 9
    7 4 4
    8 4 6
    9 4 7
    10 4 8
    11 4 2
    12 4 5
    13 4 5
    14 4 4
    15 4 1
    1 5 2
    2 5 3
    3 5 6
    4 5 5
    5 5 4
    6 5 9
    7 5 4
    8 5 6
    9 5 7
    10 5 8
    11 5 2
    12 5 5
    13 5 5
    14 5 4
    15 5 1
    1 6 1
    2 6 2
    3 6 3
    4 6 3
    5 6 2
    6 6 5
    7 6 2
    8 6 3
    9 6 4
    10 6 4
    11 6 1
    12 6 3
    13 6 3
    14 6 2
    15 6 1
    1 7 1
    2 7 2
    3 7 3
    4 7 3
    5 7 2
    6 7 5
    7 7 2
    8 7 3
    9 7 4
    10 7 4
    11 7 1
    12 7 3
    13 7 3
    14 7 2
    15 7 1
    1 8 1
    2 8 2
    3 8 3
    4 8 3
    5 8 2
    6 8 5
    7 8 2
    8 8 3
    9 8 4
    10 8 4
    11 8 1
    12 8 3
    13 8 3
    14 8 2
    15 8 1
    1 9 1
    2 9 1
    3 9 2
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 2
    9 9 2
    10 9 2
    11 9 1
    12 9 1
    13 9 1
    14 9 2
    15 9 1
    1 10 1
    2 10 1
    3 10 2
    4 10 2
    5 10 2
    6 10 2
    7 10 2
    8 10 2
    9 10 2
    10 10 2
    11 10 1
    12 10 1
    13 10 1
    14 10 2
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
