set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 7
    2 8
    3 14
    4 7
    5 7
    6 8
    7 5
    8 8
    9 10
    10 8
    11 9
    12 9
    13 11
    14 6
    15 10
 ;

param depart := 
    1 20
    2 20
    3 20
    4 19
    5 21
    6 20
    7 18
    8 23
    9 21
    10 22
    11 21
    12 19
    13 22
    14 19
    15 21
 ;

param TFC := 
    1 1 8
    2 1 4
    3 1 3
    4 1 2
    5 1 13
    6 1 6
    7 1 4
    8 1 4
    9 1 6
    10 1 6
    11 1 13
    12 1 4
    13 1 10
    14 1 4
    15 1 2
    1 2 8
    2 2 4
    3 2 3
    4 2 2
    5 2 13
    6 2 6
    7 2 4
    8 2 4
    9 2 6
    10 2 6
    11 2 13
    12 2 4
    13 2 10
    14 2 4
    15 2 2
    1 3 8
    2 3 4
    3 3 3
    4 3 2
    5 3 13
    6 3 6
    7 3 4
    8 3 4
    9 3 6
    10 3 6
    11 3 13
    12 3 4
    13 3 10
    14 3 4
    15 3 2
    1 4 8
    2 4 4
    3 4 3
    4 4 2
    5 4 13
    6 4 6
    7 4 4
    8 4 4
    9 4 6
    10 4 6
    11 4 13
    12 4 4
    13 4 10
    14 4 4
    15 4 2
    1 5 8
    2 5 4
    3 5 3
    4 5 2
    5 5 13
    6 5 6
    7 5 4
    8 5 4
    9 5 6
    10 5 6
    11 5 13
    12 5 4
    13 5 10
    14 5 4
    15 5 2
    1 6 4
    2 6 2
    3 6 2
    4 6 1
    5 6 7
    6 6 3
    7 6 2
    8 6 2
    9 6 3
    10 6 3
    11 6 7
    12 6 2
    13 6 5
    14 6 2
    15 6 1
    1 7 4
    2 7 2
    3 7 2
    4 7 1
    5 7 7
    6 7 3
    7 7 2
    8 7 2
    9 7 3
    10 7 3
    11 7 7
    12 7 2
    13 7 5
    14 7 2
    15 7 1
    1 8 4
    2 8 2
    3 8 2
    4 8 1
    5 8 7
    6 8 3
    7 8 2
    8 8 2
    9 8 3
    10 8 3
    11 8 7
    12 8 2
    13 8 5
    14 8 2
    15 8 1
    1 9 2
    2 9 2
    3 9 1
    4 9 1
    5 9 3
    6 9 2
    7 9 1
    8 9 2
    9 9 2
    10 9 2
    11 9 3
    12 9 2
    13 9 2
    14 9 1
    15 9 1
    1 10 2
    2 10 2
    3 10 1
    4 10 1
    5 10 3
    6 10 2
    7 10 1
    8 10 2
    9 10 2
    10 10 2
    11 10 3
    12 10 2
    13 10 2
    14 10 1
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
