set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 6
    2 8
    3 8
    4 12
    5 11
    6 9
    7 7
    8 5
    9 9
    10 6
    11 10
    12 10
    13 10
    14 6
    15 10
 ;

param depart := 
    1 18
    2 22
    3 18
    4 22
    5 16
    6 19
    7 18
    8 21
    9 20
    10 22
    11 20
    12 21
    13 19
    14 23
    15 19
 ;

param TFC := 
    1 1 4
    2 1 2
    3 1 5
    4 1 5
    5 1 6
    6 1 1
    7 1 6
    8 1 6
    9 1 4
    10 1 5
    11 1 4
    12 1 6
    13 1 9
    14 1 3
    15 1 6
    1 2 4
    2 2 2
    3 2 5
    4 2 5
    5 2 6
    6 2 1
    7 2 6
    8 2 6
    9 2 4
    10 2 5
    11 2 4
    12 2 6
    13 2 9
    14 2 3
    15 2 6
    1 3 4
    2 3 2
    3 3 5
    4 3 5
    5 3 6
    6 3 1
    7 3 6
    8 3 6
    9 3 4
    10 3 5
    11 3 4
    12 3 6
    13 3 9
    14 3 3
    15 3 6
    1 4 4
    2 4 2
    3 4 5
    4 4 5
    5 4 6
    6 4 1
    7 4 6
    8 4 6
    9 4 4
    10 4 5
    11 4 4
    12 4 6
    13 4 9
    14 4 3
    15 4 6
    1 5 4
    2 5 2
    3 5 5
    4 5 5
    5 5 6
    6 5 1
    7 5 6
    8 5 6
    9 5 4
    10 5 5
    11 5 4
    12 5 6
    13 5 9
    14 5 3
    15 5 6
    1 6 2
    2 6 1
    3 6 3
    4 6 3
    5 6 3
    6 6 1
    7 6 3
    8 6 3
    9 6 2
    10 6 3
    11 6 2
    12 6 3
    13 6 5
    14 6 2
    15 6 3
    1 7 2
    2 7 1
    3 7 3
    4 7 3
    5 7 3
    6 7 1
    7 7 3
    8 7 3
    9 7 2
    10 7 3
    11 7 2
    12 7 3
    13 7 5
    14 7 2
    15 7 3
    1 8 2
    2 8 1
    3 8 3
    4 8 3
    5 8 3
    6 8 1
    7 8 3
    8 8 3
    9 8 2
    10 8 3
    11 8 2
    12 8 3
    13 8 5
    14 8 2
    15 8 3
    1 9 2
    2 9 1
    3 9 1
    4 9 1
    5 9 2
    6 9 1
    7 9 2
    8 9 2
    9 9 2
    10 9 1
    11 9 1
    12 9 2
    13 9 2
    14 9 1
    15 9 2
    1 10 2
    2 10 1
    3 10 1
    4 10 1
    5 10 2
    6 10 1
    7 10 2
    8 10 2
    9 10 2
    10 10 1
    11 10 1
    12 10 2
    13 10 2
    14 10 1
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
