set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 7
    3 10
    4 9
    5 13
    6 5
    7 5
    8 14
    9 9
    10 9
    11 8
    12 14
    13 8
    14 7
    15 9
 ;

param depart := 
    1 20
    2 19
    3 19
    4 21
    5 19
    6 20
    7 19
    8 18
    9 22
    10 17
    11 18
    12 20
    13 19
    14 19
    15 17
 ;

param TFC := 
    1 1 3
    2 1 17
    3 1 1
    4 1 1
    5 1 2
    6 1 4
    7 1 2
    8 1 6
    9 1 4
    10 1 15
    11 1 4
    12 1 5
    13 1 3
    14 1 6
    15 1 4
    1 2 3
    2 2 17
    3 2 1
    4 2 1
    5 2 2
    6 2 4
    7 2 2
    8 2 6
    9 2 4
    10 2 15
    11 2 4
    12 2 5
    13 2 3
    14 2 6
    15 2 4
    1 3 3
    2 3 17
    3 3 1
    4 3 1
    5 3 2
    6 3 4
    7 3 2
    8 3 6
    9 3 4
    10 3 15
    11 3 4
    12 3 5
    13 3 3
    14 3 6
    15 3 4
    1 4 3
    2 4 17
    3 4 1
    4 4 1
    5 4 2
    6 4 4
    7 4 2
    8 4 6
    9 4 4
    10 4 15
    11 4 4
    12 4 5
    13 4 3
    14 4 6
    15 4 4
    1 5 3
    2 5 17
    3 5 1
    4 5 1
    5 5 2
    6 5 4
    7 5 2
    8 5 6
    9 5 4
    10 5 15
    11 5 4
    12 5 5
    13 5 3
    14 5 6
    15 5 4
    1 6 2
    2 6 9
    3 6 1
    4 6 1
    5 6 1
    6 6 2
    7 6 1
    8 6 3
    9 6 2
    10 6 8
    11 6 2
    12 6 3
    13 6 2
    14 6 3
    15 6 2
    1 7 2
    2 7 9
    3 7 1
    4 7 1
    5 7 1
    6 7 2
    7 7 1
    8 7 3
    9 7 2
    10 7 8
    11 7 2
    12 7 3
    13 7 2
    14 7 3
    15 7 2
    1 8 2
    2 8 9
    3 8 1
    4 8 1
    5 8 1
    6 8 2
    7 8 1
    8 8 3
    9 8 2
    10 8 8
    11 8 2
    12 8 3
    13 8 2
    14 8 3
    15 8 2
    1 9 1
    2 9 4
    3 9 1
    4 9 1
    5 9 1
    6 9 2
    7 9 1
    8 9 2
    9 9 2
    10 9 4
    11 9 2
    12 9 1
    13 9 1
    14 9 2
    15 9 2
    1 10 1
    2 10 4
    3 10 1
    4 10 1
    5 10 1
    6 10 2
    7 10 1
    8 10 2
    9 10 2
    10 10 4
    11 10 2
    12 10 1
    13 10 1
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
