set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 12
    2 6
    3 14
    4 6
    5 10
    6 9
    7 12
    8 6
    9 10
    10 11
    11 5
    12 11
    13 9
    14 7
    15 11
 ;

param depart := 
    1 17
    2 21
    3 19
    4 19
    5 17
    6 20
    7 22
    8 22
    9 16
    10 18
    11 18
    12 17
    13 22
    14 18
    15 17
 ;

param TFC := 
    1 1 4
    2 1 4
    3 1 12
    4 1 6
    5 1 6
    6 1 4
    7 1 6
    8 1 4
    9 1 7
    10 1 3
    11 1 6
    12 1 4
    13 1 2
    14 1 5
    15 1 8
    1 2 4
    2 2 4
    3 2 12
    4 2 6
    5 2 6
    6 2 4
    7 2 6
    8 2 4
    9 2 7
    10 2 3
    11 2 6
    12 2 4
    13 2 2
    14 2 5
    15 2 8
    1 3 4
    2 3 4
    3 3 12
    4 3 6
    5 3 6
    6 3 4
    7 3 6
    8 3 4
    9 3 7
    10 3 3
    11 3 6
    12 3 4
    13 3 2
    14 3 5
    15 3 8
    1 4 4
    2 4 4
    3 4 12
    4 4 6
    5 4 6
    6 4 4
    7 4 6
    8 4 4
    9 4 7
    10 4 3
    11 4 6
    12 4 4
    13 4 2
    14 4 5
    15 4 8
    1 5 4
    2 5 4
    3 5 12
    4 5 6
    5 5 6
    6 5 4
    7 5 6
    8 5 4
    9 5 7
    10 5 3
    11 5 6
    12 5 4
    13 5 2
    14 5 5
    15 5 8
    1 6 2
    2 6 2
    3 6 6
    4 6 3
    5 6 3
    6 6 2
    7 6 3
    8 6 2
    9 6 4
    10 6 2
    11 6 3
    12 6 2
    13 6 1
    14 6 3
    15 6 4
    1 7 2
    2 7 2
    3 7 6
    4 7 3
    5 7 3
    6 7 2
    7 7 3
    8 7 2
    9 7 4
    10 7 2
    11 7 3
    12 7 2
    13 7 1
    14 7 3
    15 7 4
    1 8 2
    2 8 2
    3 8 6
    4 8 3
    5 8 3
    6 8 2
    7 8 3
    8 8 2
    9 8 4
    10 8 2
    11 8 3
    12 8 2
    13 8 1
    14 8 3
    15 8 4
    1 9 2
    2 9 2
    3 9 3
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 2
    9 9 2
    10 9 2
    11 9 2
    12 9 2
    13 9 1
    14 9 2
    15 9 2
    1 10 2
    2 10 2
    3 10 3
    4 10 2
    5 10 2
    6 10 2
    7 10 2
    8 10 2
    9 10 2
    10 10 2
    11 10 2
    12 10 2
    13 10 1
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
