set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 7
    2 8
    3 10
    4 9
    5 5
    6 11
    7 9
    8 12
    9 8
    10 6
    11 9
    12 9
    13 6
    14 9
    15 8
 ;

param depart := 
    1 18
    2 21
    3 20
    4 19
    5 23
    6 21
    7 20
    8 21
    9 18
    10 18
    11 18
    12 18
    13 22
    14 17
    15 21
 ;

param TFC := 
    1 1 4
    2 1 6
    3 1 4
    4 1 2
    5 1 3
    6 1 4
    7 1 5
    8 1 6
    9 1 6
    10 1 10
    11 1 9
    12 1 4
    13 1 3
    14 1 6
    15 1 2
    1 2 4
    2 2 6
    3 2 4
    4 2 2
    5 2 3
    6 2 4
    7 2 5
    8 2 6
    9 2 6
    10 2 10
    11 2 9
    12 2 4
    13 2 3
    14 2 6
    15 2 2
    1 3 4
    2 3 6
    3 3 4
    4 3 2
    5 3 3
    6 3 4
    7 3 5
    8 3 6
    9 3 6
    10 3 10
    11 3 9
    12 3 4
    13 3 3
    14 3 6
    15 3 2
    1 4 4
    2 4 6
    3 4 4
    4 4 2
    5 4 3
    6 4 4
    7 4 5
    8 4 6
    9 4 6
    10 4 10
    11 4 9
    12 4 4
    13 4 3
    14 4 6
    15 4 2
    1 5 4
    2 5 6
    3 5 4
    4 5 2
    5 5 3
    6 5 4
    7 5 5
    8 5 6
    9 5 6
    10 5 10
    11 5 9
    12 5 4
    13 5 3
    14 5 6
    15 5 2
    1 6 2
    2 6 3
    3 6 2
    4 6 1
    5 6 2
    6 6 2
    7 6 3
    8 6 3
    9 6 3
    10 6 5
    11 6 5
    12 6 2
    13 6 2
    14 6 3
    15 6 1
    1 7 2
    2 7 3
    3 7 2
    4 7 1
    5 7 2
    6 7 2
    7 7 3
    8 7 3
    9 7 3
    10 7 5
    11 7 5
    12 7 2
    13 7 2
    14 7 3
    15 7 1
    1 8 2
    2 8 3
    3 8 2
    4 8 1
    5 8 2
    6 8 2
    7 8 3
    8 8 3
    9 8 3
    10 8 5
    11 8 5
    12 8 2
    13 8 2
    14 8 3
    15 8 1
    1 9 2
    2 9 2
    3 9 1
    4 9 1
    5 9 1
    6 9 2
    7 9 1
    8 9 2
    9 9 2
    10 9 3
    11 9 2
    12 9 2
    13 9 2
    14 9 2
    15 9 1
    1 10 2
    2 10 2
    3 10 1
    4 10 1
    5 10 1
    6 10 2
    7 10 1
    8 10 2
    9 10 2
    10 10 3
    11 10 2
    12 10 2
    13 10 2
    14 10 2
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
