set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 8
    3 6
    4 8
    5 7
    6 9
    7 9
    8 10
    9 7
    10 8
    11 7
    12 7
    13 5
    14 11
    15 6
 ;

param depart := 
    1 20
    2 20
    3 17
    4 23
    5 19
    6 21
    7 19
    8 19
    9 17
    10 21
    11 20
    12 17
    13 19
    14 19
    15 21
 ;

param TFC := 
    1 1 2
    2 1 5
    3 1 4
    4 1 6
    5 1 4
    6 1 5
    7 1 4
    8 1 3
    9 1 4
    10 1 2
    11 1 4
    12 1 6
    13 1 4
    14 1 7
    15 1 3
    1 2 2
    2 2 5
    3 2 4
    4 2 6
    5 2 4
    6 2 5
    7 2 4
    8 2 3
    9 2 4
    10 2 2
    11 2 4
    12 2 6
    13 2 4
    14 2 7
    15 2 3
    1 3 2
    2 3 5
    3 3 4
    4 3 6
    5 3 4
    6 3 5
    7 3 4
    8 3 3
    9 3 4
    10 3 2
    11 3 4
    12 3 6
    13 3 4
    14 3 7
    15 3 3
    1 4 2
    2 4 5
    3 4 4
    4 4 6
    5 4 4
    6 4 5
    7 4 4
    8 4 3
    9 4 4
    10 4 2
    11 4 4
    12 4 6
    13 4 4
    14 4 7
    15 4 3
    1 5 2
    2 5 5
    3 5 4
    4 5 6
    5 5 4
    6 5 5
    7 5 4
    8 5 3
    9 5 4
    10 5 2
    11 5 4
    12 5 6
    13 5 4
    14 5 7
    15 5 3
    1 6 1
    2 6 3
    3 6 2
    4 6 3
    5 6 2
    6 6 3
    7 6 2
    8 6 2
    9 6 2
    10 6 1
    11 6 2
    12 6 3
    13 6 2
    14 6 4
    15 6 2
    1 7 1
    2 7 3
    3 7 2
    4 7 3
    5 7 2
    6 7 3
    7 7 2
    8 7 2
    9 7 2
    10 7 1
    11 7 2
    12 7 3
    13 7 2
    14 7 4
    15 7 2
    1 8 1
    2 8 3
    3 8 2
    4 8 3
    5 8 2
    6 8 3
    7 8 2
    8 8 2
    9 8 2
    10 8 1
    11 8 2
    12 8 3
    13 8 2
    14 8 4
    15 8 2
    1 9 1
    2 9 2
    3 9 2
    4 9 2
    5 9 1
    6 9 2
    7 9 2
    8 9 2
    9 9 2
    10 9 1
    11 9 2
    12 9 2
    13 9 2
    14 9 2
    15 9 1
    1 10 1
    2 10 2
    3 10 2
    4 10 2
    5 10 1
    6 10 2
    7 10 2
    8 10 2
    9 10 2
    10 10 1
    11 10 2
    12 10 2
    13 10 2
    14 10 2
    15 10 1
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
