set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 6
    2 8
    3 9
    4 13
    5 8
    6 12
    7 12
    8 8
    9 9
    10 7
    11 6
    12 7
    13 9
    14 11
    15 6
 ;

param depart := 
    1 21
    2 20
    3 19
    4 19
    5 17
    6 22
    7 20
    8 19
    9 22
    10 18
    11 22
    12 19
    13 19
    14 21
    15 17
 ;

param TFC := 
    1 1 4
    2 1 4
    3 1 6
    4 1 9
    5 1 6
    6 1 1
    7 1 9
    8 1 4
    9 1 3
    10 1 6
    11 1 3
    12 1 9
    13 1 8
    14 1 2
    15 1 4
    1 2 4
    2 2 4
    3 2 6
    4 2 9
    5 2 6
    6 2 1
    7 2 9
    8 2 4
    9 2 3
    10 2 6
    11 2 3
    12 2 9
    13 2 8
    14 2 2
    15 2 4
    1 3 4
    2 3 4
    3 3 6
    4 3 9
    5 3 6
    6 3 1
    7 3 9
    8 3 4
    9 3 3
    10 3 6
    11 3 3
    12 3 9
    13 3 8
    14 3 2
    15 3 4
    1 4 4
    2 4 4
    3 4 6
    4 4 9
    5 4 6
    6 4 1
    7 4 9
    8 4 4
    9 4 3
    10 4 6
    11 4 3
    12 4 9
    13 4 8
    14 4 2
    15 4 4
    1 5 4
    2 5 4
    3 5 6
    4 5 9
    5 5 6
    6 5 1
    7 5 9
    8 5 4
    9 5 3
    10 5 6
    11 5 3
    12 5 9
    13 5 8
    14 5 2
    15 5 4
    1 6 2
    2 6 2
    3 6 3
    4 6 5
    5 6 3
    6 6 1
    7 6 5
    8 6 2
    9 6 2
    10 6 3
    11 6 2
    12 6 5
    13 6 4
    14 6 1
    15 6 2
    1 7 2
    2 7 2
    3 7 3
    4 7 5
    5 7 3
    6 7 1
    7 7 5
    8 7 2
    9 7 2
    10 7 3
    11 7 2
    12 7 5
    13 7 4
    14 7 1
    15 7 2
    1 8 2
    2 8 2
    3 8 3
    4 8 5
    5 8 3
    6 8 1
    7 8 5
    8 8 2
    9 8 2
    10 8 3
    11 8 2
    12 8 5
    13 8 4
    14 8 1
    15 8 2
    1 9 2
    2 9 1
    3 9 2
    4 9 2
    5 9 2
    6 9 1
    7 9 2
    8 9 1
    9 9 2
    10 9 2
    11 9 2
    12 9 2
    13 9 2
    14 9 1
    15 9 2
    1 10 2
    2 10 1
    3 10 2
    4 10 2
    5 10 2
    6 10 1
    7 10 2
    8 10 1
    9 10 2
    10 10 2
    11 10 2
    12 10 2
    13 10 2
    14 10 1
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
