set N :=  1 2 3 4 5 6 7 8 9 10 ;

set M :=  1 2 3 4 5 6 7 8 9 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 8
    2 6
    3 9
    4 8
    5 10
    6 8
    7 8
    8 10
    9 11
    10 10
 ;

param depart := 
    1 23
    2 21
    3 19
    4 21
    5 21
    6 19
    7 18
    8 17
    9 21
    10 18
 ;

param TFC := 
    1 1 6
    2 1 4
    3 1 2
    4 1 4
    5 1 8
    6 1 4
    7 1 3
    8 1 4
    9 1 3
    10 1 6
    1 2 6
    2 2 4
    3 2 2
    4 2 4
    5 2 8
    6 2 4
    7 2 3
    8 2 4
    9 2 3
    10 2 6
    1 3 6
    2 3 4
    3 3 2
    4 3 4
    5 3 8
    6 3 4
    7 3 3
    8 3 4
    9 3 3
    10 3 6
    1 4 6
    2 4 4
    3 4 2
    4 4 4
    5 4 8
    6 4 4
    7 4 3
    8 4 4
    9 4 3
    10 4 6
    1 5 3
    2 5 2
    3 5 1
    4 5 2
    5 5 4
    6 5 2
    7 5 2
    8 5 2
    9 5 2
    10 5 3
    1 6 3
    2 6 2
    3 6 1
    4 6 2
    5 6 4
    6 6 2
    7 6 2
    8 6 2
    9 6 2
    10 6 3
    1 7 3
    2 7 2
    3 7 1
    4 7 2
    5 7 4
    6 7 2
    7 7 2
    8 7 2
    9 7 2
    10 7 3
    1 8 2
    2 8 2
    3 8 1
    4 8 2
    5 8 2
    6 8 2
    7 8 2
    8 8 1
    9 8 1
    10 8 2
    1 9 2
    2 9 2
    3 9 1
    4 9 2
    5 9 2
    6 9 2
    7 9 2
    8 9 1
    9 9 1
    10 9 2
 ;

param installed_cost :=     1 1000
    2 1000
    3 1000
    4 1000
    5 1500
    6 1500
    7 1500
    8 2200
    9 2200
 ;

