EV_Number,EV_Type,Arrival,Depart,Demand,AssignedCharger,ChargerType,Delay,Total_load
1,Sedan,10,17,18,11,19,17.0,18.0
2,Small,10,20,3,11,19,18.0,3.0
3,Truck,9,16,17,11,19,14.0,17.0
4,SUV,11,17,32,11,19,17.0,32.0
5,Small,5,20,15,8,8,10.0,24.0
6,Sedan,6,20,24,11,19,19.0,24.0
7,Truck,14,21,30,8,8,21.0,30.0
8,Truck,9,20,17,11,19,20.0,17.0
9,Sedan,5,22,19,11,19,20.0,19.0
10,SUV,10,22,29,11,19,22.0,28.999999999999996
11,Sedan,7,20,19,11,19,20.0,25.0
12,Truck,9,21,33,8,8,21.0,33.0
13,Small,8,19,13,11,19,19.0,13.000000000000002
14,Small,9,22,14,8,8,22.0,16.0
15,Sedan,12,19,18,11,19,18.0,17.999999999999996
16,Small,9,19,16,11,19,19.0,16.0
17,Truck,9,18,52,11,19,18.0,52.0
18,SUV,11,20,14,11,19,20.0,15.999999999999979
19,Sedan,11,21,24,11,19,21.0,24.000000000000004
20,SUV,10,19,17,8,8,19.0,16.999999999999996
