NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
3,Truck,16,31,17.5,7,12.28,17.5,66.5,52.5,5.938,0,16,23,27.15,3.08,4.73,1.12,0.988,20,22
2,Small,21,31,4.0,7,8.454,4.0,15.2,12.0,57.822,0,21,23,8.7,0.8,4.79,0.95,0.866,21,23
1,Small,22,30,4.0,3,4.792,4.0,15.2,12.0,57.822,0,30,39,48.23,2.09,4.74,1.05,0.99,20,23
2,Small,20,31,6.0,7,16.049,4.0,15.2,10.0,24.344,0,20,23,40.51,1.92,4.75,0.93,0.987,21,22
5,SUV,23,30,13.5,7,4.625,13.5,51.3,40.5,57.822,0,30,39,43.35,2.92,4.64,0.93,0.992,19,23
2,Small,17,30,4.0,7,10.59,4.0,15.2,12.0,57.822,0,17,23,47.75,2.78,4.62,1.11,0.992,19,23
3,Truck,20,30,17.5,3,8.134,17.5,66.5,52.5,57.822,0,30,39,28.65,0.64,4.76,0.99,0.947,21,21
4,Sedan,19,30,6.0,3,5.179,6.0,22.8,18.0,3.045,0,30,39,7.03,3.16,4.79,1.02,0.956,19,21
5,Sedan,17,33,6.0,3,12.992,6.0,22.8,18.0,3.045,0,17,23,44.64,3.11,4.67,1.1,0.993,21,22
1,Truck,20,32,17.5,7,15.13,17.5,66.5,52.5,5.938,0,29,32,11.34,1.85,4.73,1.02,0.953,21,23
5,Truck,20,30,17.5,7,14.818,17.5,66.5,52.5,10.783,0,20,23,43.43,2.22,4.67,0.95,0.99,19,22
5,Sedan,20,31,6.0,3,6.424,6.0,22.8,18.0,5.938,0,31,39,16.18,1.19,4.71,1.07,0.949,20,21
2,Small,18,31,5.0,7,12.501,4.0,15.2,11.0,15.242,0,31,39,9.6,1.65,4.76,1.2,0.939,19,22
3,Small,21,33,4.0,7,9.499,4.0,15.2,12.0,3.045,0,21,23,48.45,2.8,4.77,0.93,0.993,21,23
2,Sedan,20,30,6.0,7,14.934,6.0,22.8,18.0,10.783,0,30,39,43.14,0.75,4.63,1.16,0.97,20,21
3,Small,19,34,4.0,7,6.277,4.0,15.2,12.0,10.783,0,34,39,39.58,2.88,4.63,1.24,0.991,21,22
2,Sedan,19,30,6.0,3,10.664,6.0,22.8,18.0,5.938,0,30,39,34.47,3.33,4.74,0.95,0.991,19,22
2,Sedan,20,30,6.0,3,5.761,6.0,22.8,18.0,24.344,0,20,23,26.86,1.8,4.62,0.98,0.98,20,21
4,Small,19,31,4.0,3,8.209,4.0,15.2,12.0,15.242,0,19,23,25.44,1.89,4.76,1.1,0.979,20,21
5,Sedan,22,32,6.0,7,8.178,6.0,22.8,18.0,3.045,0,29,32,11.54,2.7,4.6,1.02,0.968,21,23
