NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Sedan,19,31,6.0,7,12.183,6.0,22.8,18.0,3.045,0,19,23,36.82,2.93,4.67,0.91,0.991,21,23
3,Truck,19,30,17.5,3,12.723,17.5,66.5,52.5,57.822,0,19,23,36.38,1.54,4.64,1.2,0.982,20,23
3,Small,19,31,4.0,7,9.037,4.0,15.2,12.0,3.045,0,31,39,36.69,3.25,4.73,0.94,0.992,20,23
2,SUV,19,31,13.5,7,5.246,13.5,51.3,40.5,5.938,0,19,23,44.18,2.6,4.62,0.93,0.991,21,21
1,Small,18,33,6.0,3,15.261,4.0,15.2,10.0,3.045,0,33,39,25.61,1.81,4.74,1.16,0.979,21,22
3,Small,19,32,7.0,7,18.05,4.0,15.2,9.0,57.822,0,32,39,35.56,1.39,4.7,1.07,0.98,21,22
2,Small,19,32,6.0,7,16.133,4.0,15.2,10.0,10.783,0,32,39,23.29,1.89,4.72,0.91,0.978,21,21
5,Truck,23,32,17.5,3,8.172,17.5,66.5,52.5,5.938,0,32,39,13.2,2.28,4.7,1.09,0.967,21,21
2,Small,17,30,4.0,7,3.733,4.0,15.2,12.0,5.938,0,30,39,30.66,3.53,4.69,1.19,0.991,21,22
3,SUV,21,32,13.5,3,14.246,13.5,51.3,40.5,24.344,0,21,23,33.84,3.11,4.67,1.13,0.991,20,23
4,Small,19,31,5.0,7,13.179,4.0,15.2,11.0,86.377,0,19,23,37.03,1.21,4.76,1.02,0.978,20,21
3,Small,18,35,4.0,3,10.932,4.0,15.2,12.0,5.938,0,18,23,37.78,1.59,4.76,1.13,0.983,19,23
5,SUV,19,31,13.5,7,6.678,13.5,51.3,40.5,24.344,0,31,39,13.72,3.17,4.77,0.91,0.977,19,22
1,SUV,23,32,13.5,3,12.964,13.5,51.3,40.5,83.097,0,29,32,9.08,0.55,4.72,1.18,0.819,20,22
4,Small,17,29,4.0,3,9.373,4.0,15.2,12.0,15.242,0,17,23,27.9,0.6,4.64,1.19,0.942,19,21
5,Sedan,19,30,6.0,7,2.994,6.0,22.8,18.0,83.097,0,30,39,25.74,0.98,4.77,1.15,0.961,19,23
1,Truck,16,33,17.5,7,7.141,17.5,66.5,52.5,3.045,0,33,39,48.3,3.06,4.71,1.1,0.993,21,21
2,Truck,19,31,17.5,7,10.976,17.5,66.5,52.5,86.377,0,19,23,19.3,2.63,4.74,1.05,0.98,19,23
2,Small,16,30,5.0,3,12.142,4.0,15.2,11.0,10.783,0,16,23,12.42,1.49,4.73,1.04,0.947,19,21
2,Sedan,17,31,6.0,7,6.991,6.0,22.8,18.0,24.344,0,31,39,24.14,1.15,4.63,0.95,0.965,20,22
