set N :=  1 2 3 4 5 6 7 8 9 10 ;

set M :=  1 2 ;

set T :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 8
    2 9
    3 8
    4 7
    5 11
    6 6
    7 5
    8 9
    9 9
    10 7
 ;

param depart := 
    1 16
    2 17
    3 18
    4 18
    5 17
    6 17
    7 19
    8 22
    9 19
    10 20
 ;

param soc_arr := 
 1 12.000
 2 22.000
 3 7.000
 4 15.000
 5 11.000
 6 7.000
 7 16.000
 8 24.000
 9 7.000
 10 13.500
 ;

param soc_up := 
 1 16.000
 2 70.000
 3 16.000
 4 16.000
 5 16.000
 6 16.000
 7 24.000
 8 70.000
 9 24.000
 10 54.000
 ;

param power := 
    1 3.00
    2 7.00
 ;

param price := 
    1 16.000
    2 22.000
    3 12.000
    4 24.000
    5 3.000
    6 13.000
    7 5.000
    8 24.000
    9 13.000
    10 24.000
    11 1.000
    12 12.000
    13 6.000
    14 19.000
    15 16.000
    16 21.000
    17 1.000
    18 13.000
    19 11.000
    20 10.000
    21 5.000
    22 7.000
    23 15.000
    24 19.000
 ;

param cost := 
    1 1000.000
    2 2500.000
 ;

