senario,Number_of_EVs,EV,Arrival,Depart,Type,BatteryCapacity,Distance,Demand,alloc_charger,delay
1,20,1,8,33,truck,70,75.04661720417751,61,19,0
1,20,2,8,32,sedan,24,18.861841800479574,8,8,0
1,20,3,9,32,sedan,24,35.97211818792385,15,8,0
1,20,4,9,32,suv,54,32.15573940481297,18,19,0
1,20,5,8,32,small,16,41.070558392893716,16,8,0
1,20,6,6,32,sedan,24,30.1335396677961,13,19,0
1,20,7,7,33,small,16,53.449843209910064,16,8,0
1,20,8,10,32,suv,54,35.69277420425829,20,19,0
1,20,9,10,33,small,16,58.21554951774442,16,8,0
1,20,10,13,34,sedan,24,25.77769203786032,11,4,0
1,20,11,11,33,sedan,24,44.19847292103972,19,19,0
1,20,12,6,33,truck,70,27.943233170487936,23,19,0
1,20,13,6,33,sedan,24,64.76667015050445,24,19,0
1,20,14,8,32,sedan,24,56.41232524406335,24,19,0
1,20,15,12,32,sedan,24,56.19824334822417,24,4,0
1,20,16,11,33,small,16,39.45066680456861,15,8,0
1,20,17,8,32,sedan,24,43.45614674386213,19,19,0
1,20,18,6,32,small,16,43.98374344169148,16,8,0
1,20,19,7,36,sedan,24,39.34500471625332,17,19,0
1,20,20,10,35,small,16,23.85752891908509,9,8,0
2,20,1,8,33,sedan,24,43.225243509091165,19,19,0
2,20,2,11,33,sedan,24,25.97592358368993,11,19,0
2,20,3,7,32,suv,54,21.31878590700874,12,19,0
2,20,4,6,32,sedan,24,19.76621980231588,8,19,0
2,20,5,8,32,suv,54,25.466894957826796,15,19,0
2,20,6,9,33,suv,54,34.80884545831229,20,19,0
2,20,7,12,34,sedan,24,40.570482287889845,17,19,0
2,20,8,5,34,truck,70,33.37634677212671,27,19,0
2,20,9,9,32,suv,54,39.88159431944855,23,19,0
2,20,10,9,32,sedan,24,24.950478051422067,11,19,0
2,20,11,10,35,small,16,39.51274454406872,15,19,0
2,20,12,8,33,sedan,24,39.707996377769554,17,19,0
2,20,13,7,32,small,16,54.752528325612474,16,19,0
2,20,14,8,33,sedan,24,63.83047011223613,24,19,0
2,20,15,11,32,truck,70,41.834192121924765,34,19,0
2,20,16,9,32,truck,70,31.39682586260698,26,19,0
2,20,17,11,32,sedan,24,52.20453480325415,22,19,0
2,20,18,6,32,truck,70,51.526419742947134,42,19,0
2,20,19,7,32,suv,54,49.13417027324114,28,19,0
2,20,20,7,32,sedan,24,56.90239091719286,24,19,0
3,20,1,8,32,small,16,34.28605554629364,13,8,0
3,20,2,11,33,small,16,68.03903786831859,16,8,0
3,20,3,11,33,truck,70,32.94787514469238,27,19,0
3,20,4,9,33,sedan,24,36.02739026752281,15,8,0
3,20,5,9,33,sedan,24,61.60920014656733,24,8,0
3,20,6,8,32,suv,54,16.848262097217702,10,8,0
3,20,7,12,35,small,16,26.675469118056114,10,8,0
3,20,8,10,33,suv,54,48.483849924640346,28,19,0
3,20,9,8,33,sedan,24,61.96361539359872,24,19,0
