set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 ;

set M :=  1 2 3 4 5 6 7 8 9 10 11 ;

set T :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 10
    3 7
    4 8
    5 9
    6 9
    7 3
    8 7
    9 8
    10 12
    11 4
    12 7
    13 8
    14 11
    15 8
    16 10
    17 7
    18 10
    19 8
    20 10
    21 6
    22 8
    23 8
    24 3
    25 8
    26 8
    27 7
    28 7
    29 13
    30 7
    31 6
    32 8
    33 10
    34 10
    35 5
    36 9
    37 9
    38 13
    39 7
    40 9
    41 9
    42 10
    43 8
    44 11
    45 11
    46 4
    47 8
    48 11
    49 12
    50 11
 ;

param depart := 
    1 17
    2 22
    3 18
    4 21
    5 18
    6 21
    7 20
    8 19
    9 24
    10 20
    11 20
    12 21
    13 21
    14 17
    15 16
    16 19
    17 21
    18 22
    19 22
    20 23
    21 19
    22 17
    23 21
    24 22
    25 19
    26 18
    27 17
    28 20
    29 21
    30 20
    31 17
    32 20
    33 19
    34 22
    35 19
    36 22
    37 18
    38 18
    39 18
    40 17
    41 20
    42 20
    43 22
    44 19
    45 23
    46 22
    47 20
    48 17
    49 20
    50 21
 ;

param demand := 
    1 47
    2 16
    3 18
    4 16
    5 9
    6 16
    7 18
    8 16
    9 16
    10 11
    11 21
    12 16
    13 12
    14 16
    15 14
    16 22
    17 9
    18 13
    19 13
    20 13
    21 30
    22 35
    23 10
    24 16
    25 16
    26 24
    27 39
    28 14
    29 24
    30 16
    31 7
    32 10
    33 18
    34 14
    35 24
    36 16
    37 16
    38 5
    39 8
    40 37
    41 8
    42 16
    43 15
    44 15
    45 16
    46 14
    47 27
    48 19
    49 41
    50 15
 ;

param installed_chargers := 
 1 4
 2 4
 3 8
 4 8
 5 8
 6 8
 7 8
 8 19
 9 19
 10 19
 11 19
 ;

param installed_cost := 
 1 1000
 2 1000
 3 1500
 4 1500
 5 1500
 6 1500
 7 1500
 8 2200
 9 2200
 10 2200
 11 2200
 ;

param POWER := 
    1 1 4
    2 1 4
    3 1 4
    4 1 4
    5 1 4
    6 1 4
    7 1 4
    8 1 4
    9 1 4
    10 1 4
    11 1 4
    12 1 4
