set N :=  1 2 3 4 5 6 7 8 9 10 ;

set M :=  1 2 3 4 5 6 7 8 9 ;

set T :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 11
    2 10
    3 10
    4 8
    5 8
    6 8
    7 7
    8 8
    9 6
    10 8
 ;

param depart := 
    1 21
    2 20
    3 24
    4 18
    5 18
    6 21
    7 22
    8 18
    9 19
    10 20
 ;

param demand := 
    1 25
    2 4
    3 16
    4 49
    5 8
    6 32
    7 10
    8 16
    9 32
    10 24
 ;

param installed_chargers := 
 1 4
 2 4
 3 4
 4 4
 5 8
 6 8
 7 8
 8 19
 9 19
 ;

param installed_cost := 
 1 1000
 2 1000
 3 1000
 4 1000
 5 1500
 6 1500
 7 1500
 8 2200
 9 2200
 ;

param POWER := 
    1 1 4
    2 1 4
    3 1 4
    4 1 4
    5 1 4
    6 1 4
    7 1 4
    8 1 4
    9 1 4
    10 1 4
    1 2 4
    2 2 4
    3 2 4
    4 2 4
    5 2 4
    6 2 4
    7 2 4
    8 2 4
    9 2 4
    10 2 4
    1 3 4
    2 3 4
    3 3 4
    4 3 4
    5 3 4
    6 3 4
    7 3 4
    8 3 4
    9 3 4
    10 3 4
    1 4 4
    2 4 4
    3 4 4
    4 4 4
    5 4 4
    6 4 4
    7 4 4
    8 4 4
    9 4 4
    10 4 4
    1 5 8
    2 5 8
    3 5 8
    4 5 8
    5 5 8
    6 5 8
    7 5 8
    8 5 8
    9 5 8
    10 5 8
    1 6 8
    2 6 8
    3 6 8
    4 6 8
    5 6 8
    6 6 8
    7 6 8
    8 6 8
    9 6 8
    10 6 8
    1 7 8
    2 7 8
    3 7 8
    4 7 8
    5 7 8
    6 7 8
    7 7 8
    8 7 8
    9 7 8
    10 7 8
    1 8 19
    2 8 19
    3 8 8
    4 8 19
    5 8 19
    6 8 19
    7 8 8
    8 8 8
    9 8 19
    10 8 19
    1 9 19
    2 9 19
    3 9 8
    4 9 19
    5 9 19
    6 9 19
    7 9 8
    8 9 8
    9 9 19
    10 9 19
 ;

