set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 ;

set M :=  1 2 3 4 5 6 7 8 9 10 11 ;

set T :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 5
    2 2
    3 8
    4 8
    5 8
    6 10
    7 9
    8 11
    9 7
    10 9
    11 8
    12 11
    13 6
    14 10
    15 5
    16 9
    17 8
    18 6
    19 8
    20 9
    21 7
    22 11
    23 12
    24 7
    25 6
    26 11
    27 12
    28 5
    29 8
    30 10
    31 6
    32 10
    33 6
    34 9
    35 9
    36 9
    37 8
    38 9
    39 5
    40 8
    41 9
    42 7
    43 7
    44 7
    45 9
    46 12
    47 7
    48 4
    49 6
    50 9
 ;

param depart := 
    1 20
    2 19
    3 17
    4 18
    5 20
    6 20
    7 19
    8 20
    9 19
    10 18
    11 19
    12 20
    13 20
    14 18
    15 18
    16 20
    17 20
    18 19
    19 24
    20 18
    21 20
    22 19
    23 20
    24 18
    25 21
    26 21
    27 24
    28 21
    29 18
    30 23
    31 22
    32 19
    33 19
    34 21
    35 21
    36 23
    37 16
    38 20
    39 19
    40 21
    41 17
    42 20
    43 23
    44 22
    45 20
    46 23
    47 22
    48 20
    49 22
    50 21
 ;

param demand := 
    1 16
    2 16
    3 18
    4 13
    5 15
    6 35
    7 16
    8 24
    9 15
    10 7
    11 21
    12 16
    13 14
    14 12
    15 17
    16 24
    17 39
    18 22
    19 30
    20 6
    21 7
    22 60
    23 6
    24 28
    25 21
    26 16
    27 46
    28 21
    29 16
    30 16
    31 19
    32 20
    33 16
    34 24
    35 12
    36 13
    37 22
    38 8
    39 16
    40 16
    41 10
    42 5
    43 16
    44 16
    45 16
    46 4
    47 19
    48 10
    49 14
    50 7
 ;

param installed_chargers := 
 1 4
 2 4
 3 8
 4 8
 5 8
 6 8
 7 8
 8 19
 9 19
 10 19
 11 19
 ;

param installed_cost := 
 1 1000
 2 1000
 3 1500
 4 1500
 5 1500
 6 1500
 7 1500
 8 2200
 9 2200
 10 2200
 11 2200
 ;

param POWER := 
    1 1 4
    2 1 4
    3 1 4
    4 1 4
    5 1 4
    6 1 4
    7 1 4
    8 1 4
    9 1 4
    10 1 4
    11 1 4
    12 1 4
    13 1 4
    14 1 4
    15 1 4
    16 1 4
    17 1 4
    18 1 4
    19 1 4
    20 1 4
    21 1 4
    22 1 4
    23 1 4
    24 1 4
    25 1 4
    26 1 4
    27 1 4
    28 1 4
    29 1 4
    30 1 4
    31 1 4
    32 1 4
    33 1 4
    34 1 4
    35 1 4
    36 1 4
    37 1 4
    38 1 4
    39 1 4
    40 1 4
    41 1 4
    42 1 4
    43 1 4
    44 1 4
    45 1 4
    46 1 4
    47 1 4
    48 1 4
    49 1 4
    50 1 4
    1 2 4
    2 2 4
    3 2 4
    4 2 4
    5 2 4
    6 2 4
    7 2 4
    8 2 4
    9 2 4
    10 2 4
    11 2 4
    12 2 4
    13 2 4
    14 2 4
    15 2 4
    16 2 4
    17 2 4
    18 2 4
    19 2 4
    20 2 4
    21 2 4
    22 2 4
    23 2 4
    24 2 4
    25 2 4
    26 2 4
    27 2 4
    28 2 4
    29 2 4
    30 2 4
    31 2 4
    32 2 4
