set N :=  1 2 3 4 5 6 7 8 9 10 ;

set M :=  1 2 3 4 5 6 7 ;

set T :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 11
    2 8
    3 10
    4 4
    5 12
    6 9
    7 9
    8 11
    9 6
    10 5
 ;

param depart := 
    1 20
    2 23
    3 19
    4 21
    5 20
    6 21
    7 19
    8 20
    9 21
    10 18
 ;

param demand := 
    1 29
    2 16
    3 6
    4 16
    5 11
    6 16
    7 21
    8 4
    9 24
    10 24
 ;

param installed_chargers := 
 1 4
 2 4
 3 4
 4 8
 5 8
 6 19
 7 19
 ;

param installed_cost := 
 1 1000
 2 1000
 3 1000
 4 1500
 5 1500
 6 2200
 7 2200
 ;

param POWER := 
    1 1 4
    2 1 4
    3 1 4
    4 1 4
    5 1 4
    6 1 4
    7 1 4
    8 1 4
    9 1 4
    10 1 4
    1 2 4
    2 2 4
    3 2 4
    4 2 4
    5 2 4
    6 2 4
    7 2 4
    8 2 4
    9 2 4
    10 2 4
    1 3 4
    2 3 4
    3 3 4
    4 3 4
    5 3 4
    6 3 4
    7 3 4
    8 3 4
    9 3 4
    10 3 4
    1 4 8
    2 4 8
    3 4 8
    4 4 8
    5 4 8
    6 4 8
    7 4 8
    8 4 8
    9 4 8
    10 4 8
    1 5 8
    2 5 8
    3 5 8
    4 5 8
    5 5 8
    6 5 8
    7 5 8
    8 5 8
    9 5 8
    10 5 8
    1 6 19
    2 6 8
    3 6 19
    4 6 8
    5 6 8
    6 6 8
    7 6 19
    8 6 19
    9 6 19
    10 6 19
    1 7 19
    2 7 8
    3 7 19
    4 7 8
    5 7 8
    6 7 8
    7 7 19
    8 7 19
    9 7 19
    10 7 19
 ;

