set N :=  1 2 3 4 5 6 7 8 9 10 ;

set M :=  1 2 3 4 5 6 7 ;

set T :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 9
    2 10
    3 8
    4 7
    5 9
    6 10
    7 10
    8 6
    9 8
    10 7
 ;

param depart := 
    1 19
    2 19
    3 20
    4 21
    5 19
    6 20
    7 18
    8 21
    9 18
    10 19
 ;

param demand := 
    1 26
    2 14
    3 4
    4 16
    5 15
    6 11
    7 13
    8 18
    9 24
    10 14
 ;

param installed_chargers := 
 1 4
 2 4
 3 4
 4 8
 5 8
 6 19
 7 19
 ;

param installed_cost := 
 1 1000
 2 1000
 3 1000
 4 1500
 5 1500
 6 2200
 7 2200
 ;

param POWER := 
    1 1 4
    2 1 4
    3 1 4
    4 1 4
    5 1 4
    6 1 4
    7 1 4
    8 1 4
    9 1 4
    10 1 4
    1 2 4
    2 2 4
    3 2 4
    4 2 4
    5 2 4
    6 2 4
    7 2 4
    8 2 4
    9 2 4
    10 2 4
    1 3 4
    2 3 4
    3 3 4
    4 3 4
    5 3 4
    6 3 4
    7 3 4
    8 3 4
    9 3 4
    10 3 4
    1 4 8
    2 4 8
    3 4 8
    4 4 8
    5 4 8
    6 4 8
    7 4 8
    8 4 8
    9 4 8
    10 4 8
    1 5 8
    2 5 8
    3 5 8
    4 5 8
    5 5 8
    6 5 8
    7 5 8
    8 5 8
    9 5 8
    10 5 8
    1 6 19
    2 6 8
    3 6 8
    4 6 8
    5 6 8
    6 6 8
    7 6 8
    8 6 19
    9 6 19
    10 6 19
    1 7 19
    2 7 8
    3 7 8
    4 7 8
    5 7 8
    6 7 8
    7 7 8
    8 7 19
    9 7 19
    10 7 19
 ;

