NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
3,Small,22,32,6.0,7,14.569,4.0,15.2,10.0,3.045,0,32,39,36.18,2.63,4.67,0.95,0.99,20,23
3,Small,21,30,7.0,3,17.827,4.0,15.2,9.0,86.377,0,30,39,8.81,2.81,4.73,1.16,0.96,19,23
5,Truck,16,31,17.5,7,12.561,17.5,66.5,52.5,83.097,0,16,23,30.2,0.99,4.6,0.98,0.967,21,23
2,Small,21,30,4.0,7,10.64,4.0,15.2,12.0,10.783,0,30,39,32.76,1.42,4.61,1.14,0.979,21,22
1,Sedan,16,35,6.0,3,8.668,6.0,22.8,18.0,24.344,0,29,35,33.74,1.06,4.68,0.92,0.972,21,23
2,SUV,19,32,13.5,3,10.035,13.5,51.3,40.5,57.822,0,32,39,33.62,1.89,4.66,1.22,0.984,20,23
3,Small,22,32,4.0,3,9.769,4.0,15.2,12.0,57.822,0,32,39,21.79,2.73,4.75,1.04,0.983,19,22
1,Sedan,21,35,6.0,7,3.159,6.0,22.8,18.0,5.938,0,21,23,37.4,0.61,4.65,1.14,0.957,20,23
5,SUV,21,34,13.5,3,6.816,13.5,51.3,40.5,5.938,0,21,23,29.79,3.49,4.73,1.23,0.99,19,23
2,SUV,20,32,13.5,3,11.847,13.5,51.3,40.5,15.242,0,32,39,30.28,2.88,4.74,1.06,0.989,19,23
4,Sedan,18,31,6.0,3,9.13,6.0,22.8,18.0,3.045,0,31,39,12.03,1.97,4.75,1.18,0.959,21,22
2,Sedan,16,32,6.0,7,9.772,6.0,22.8,18.0,3.045,0,32,39,13.03,1.0,4.73,1.17,0.926,19,22
3,Small,22,32,6.0,7,15.121,4.0,15.2,10.0,83.097,0,29,32,33.22,1.48,4.65,1.23,0.98,19,23
2,Sedan,21,33,6.0,7,7.154,6.0,22.8,18.0,86.377,0,29,33,48.85,1.39,4.79,1.21,0.985,19,23
2,SUV,19,33,13.5,3,14.915,13.5,51.3,40.5,83.097,0,19,23,47.52,1.75,4.71,1.22,0.988,19,21
2,SUV,21,32,13.5,3,6.928,13.5,51.3,40.5,24.344,0,32,39,7.6,3.45,4.62,1.04,0.963,21,22
4,Small,18,32,4.0,7,7.96,4.0,15.2,12.0,5.938,0,29,32,27.31,1.34,4.62,1.15,0.973,20,21
2,Sedan,16,34,6.0,3,7.876,6.0,22.8,18.0,86.377,0,34,39,47.96,2.29,4.7,0.94,0.991,19,21
3,Small,16,31,4.0,3,8.777,4.0,15.2,12.0,83.097,0,31,39,41.02,0.59,4.72,1.03,0.96,20,22
3,SUV,17,32,13.5,7,6.582,13.5,51.3,40.5,24.344,0,29,32,37.06,0.76,4.64,1.14,0.965,21,21
5,Small,22,31,4.0,3,9.691,4.0,15.2,12.0,83.097,0,31,39,22.57,3.28,4.8,0.92,0.987,20,23
3,Small,19,32,5.0,7,12.383,4.0,15.2,11.0,10.783,0,32,39,44.55,2.35,4.6,1.03,0.99,19,22
2,Small,22,30,4.0,3,11.817,4.0,15.2,12.0,15.242,0,30,39,42.35,1.16,4.75,1.0,0.98,19,22
5,SUV,22,34,13.5,7,8.295,13.5,51.3,40.5,86.377,0,29,34,40.26,2.47,4.77,1.12,0.99,20,22
4,SUV,22,32,13.5,3,8.244,13.5,51.3,40.5,86.377,0,29,32,19.09,0.74,4.8,1.08,0.932,20,23
4,Small,18,33,4.0,3,11.778,4.0,15.2,12.0,15.242,0,18,23,16.5,1.02,4.67,1.22,0.942,21,23
2,Sedan,18,33,6.0,7,7.256,6.0,22.8,18.0,10.783,0,29,33,39.08,1.53,4.66,0.93,0.983,21,23
2,Small,16,31,4.0,3,6.84,4.0,15.2,12.0,83.097,0,16,23,30.02,1.84,4.71,1.05,0.982,20,23
2,Small,17,30,4.0,7,8.845,4.0,15.2,12.0,3.045,0,30,39,11.65,2.12,4.65,1.1,0.96,21,21
1,Sedan,18,32,6.0,7,1.489,6.0,22.8,18.0,83.097,0,29,32,35.05,2.9,4.66,1.16,0.99,21,22
4,Small,19,34,4.0,7,9.547,4.0,15.2,12.0,24.344,0,34,39,14.64,2.89,4.62,1.05,0.977,19,22
5,Small,19,33,4.0,3,9.288,4.0,15.2,12.0,15.242,0,33,39,41.74,2.47,4.61,1.09,0.99,19,23
1,Small,21,30,4.0,7,4.288,4.0,15.2,12.0,24.344,0,30,39,15.1,1.26,4.65,1.2,0.949,21,23
1,SUV,18,32,13.5,7,4.579,13.5,51.3,40.5,3.045,0,29,32,34.79,1.13,4.78,1.11,0.975,20,22
1,Small,18,29,4.0,7,2.804,4.0,15.2,12.0,5.938,0,18,23,21.26,2.78,4.65,1.18,0.983,19,22
5,Small,17,30,4.0,7,11.322,4.0,15.2,12.0,10.783,0,30,39,31.68,3.46,4.62,1.02,0.991,20,23
5,Small,17,30,5.0,7,12.243,4.0,15.2,11.0,24.344,0,17,23,37.49,2.97,4.67,1.06,0.991,19,21
3,Truck,19,31,17.5,3,7.614,17.5,66.5,52.5,3.045,0,31,39,22.09,2.89,4.72,0.92,0.984,20,21
3,Small,21,32,4.0,3,11.632,4.0,15.2,12.0,3.045,0,21,23,22.33,3.11,4.63,0.92,0.986,19,22
2,SUV,18,34,13.5,7,10.109,13.5,51.3,40.5,24.344,0,34,39,30.13,0.94,4.63,1.1,0.965,20,22
5,Small,19,29,4.0,7,4.623,4.0,15.2,12.0,57.822,0,19,23,48.88,0.89,4.64,0.9,0.977,21,23
1,Small,18,34,5.0,3,12.366,4.0,15.2,11.0,10.783,0,18,23,34.1,2.39,4.66,1.09,0.988,19,23
2,Small,20,30,4.0,3,10.32,4.0,15.2,12.0,5.938,0,30,39,30.84,3.03,4.74,1.17,0.989,21,21
4,Sedan,21,30,6.0,7,5.889,6.0,22.8,18.0,5.938,0,30,39,19.27,0.81,4.77,1.03,0.938,21,21
5,Small,16,31,4.0,7,9.385,4.0,15.2,12.0,3.045,0,16,23,30.07,0.61,4.76,1.2,0.947,21,21
4,Sedan,19,33,6.0,3,12.567,6.0,22.8,18.0,10.783,0,29,33,24.22,1.17,4.63,1.01,0.965,20,21
4,Small,19,29,5.0,3,14.39,4.0,15.2,11.0,86.377,0,29,39,17.99,0.53,4.73,1.1,0.9,19,22
