set N :=  1 2 3 4 5 6 7 8 9 10 ;

set M :=  1 2 3 4 5 6 7 ;

set T :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 8
    3 8
    4 9
    5 13
    6 5
    7 11
    8 9
    9 9
    10 12
 ;

param depart := 
    1 20
    2 18
    3 18
    4 17
    5 19
    6 21
    7 20
    8 19
    9 20
    10 23
 ;

param demand := 
    1 7
    2 16
    3 28
    4 24
    5 13
    6 12
    7 26
    8 11
    9 8
    10 24
 ;

param installed_chargers := 
 1 4
 2 4
 3 4
 4 8
 5 8
 6 19
 7 19
 ;

param installed_cost := 
 1 1000
 2 1000
 3 1000
 4 1500
 5 1500
 6 2200
 7 2200
 ;

param POWER := 
    1 1 4
    2 1 4
    3 1 4
    4 1 4
    5 1 4
    6 1 4
    7 1 4
    8 1 4
    9 1 4
    10 1 4
    1 2 4
    2 2 4
    3 2 4
    4 2 4
    5 2 4
    6 2 4
    7 2 4
    8 2 4
    9 2 4
    10 2 4
    1 3 4
    2 3 4
    3 3 4
    4 3 4
    5 3 4
    6 3 4
    7 3 4
    8 3 4
    9 3 4
    10 3 4
    1 4 8
    2 4 8
    3 4 8
    4 4 8
    5 4 8
    6 4 8
    7 4 8
    8 4 8
    9 4 8
    10 4 8
    1 5 8
    2 5 8
    3 5 8
    4 5 8
    5 5 8
    6 5 8
    7 5 8
    8 5 8
    9 5 8
    10 5 8
    1 6 8
    2 6 19
    3 6 19
    4 6 19
    5 6 8
    6 6 19
    7 6 19
    8 6 8
    9 6 8
    10 6 19
    1 7 8
    2 7 19
    3 7 19
    4 7 19
    5 7 8
    6 7 19
    7 7 19
    8 7 8
    9 7 8
    10 7 19
 ;

