Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
CC_NoDelay,1,10,1,11,20,SUV,54,50.239,29,19,0
CC_NoDelay,1,10,2,8,23,Small,16,49.613,16,19,0
CC_NoDelay,1,10,3,10,19,Sedan,24,14.581,6,19,0
CC_NoDelay,1,10,4,4,21,Small,16,50.96,16,19,0
CC_NoDelay,1,10,5,12,20,Small,16,27.953,11,19,0
CC_NoDelay,1,10,6,9,21,Small,16,55.867,16,19,0
CC_NoDelay,1,10,7,9,19,Sedan,24,49.249,21,19,0
CC_NoDelay,1,10,8,11,20,SUV,54,6.558,4,19,0
CC_NoDelay,1,10,9,6,21,Sedan,24,56.098,24,19,0
CC_NoDelay,1,10,10,5,18,SUV,54,42.139,24,19,0
CC_NoDelay,2,10,1,10,20,Small,16,18.345,7,19,0
CC_NoDelay,2,10,2,8,18,Sedan,24,38.47,16,19,0
CC_NoDelay,2,10,3,8,18,SUV,54,48.582,28,19,0
CC_NoDelay,2,10,4,9,17,Sedan,24,54.842,24,19,0
CC_NoDelay,2,10,5,13,19,Small,16,35.2,13,19,0
CC_NoDelay,2,10,6,5,21,SUV,54,21.029,12,19,0
CC_NoDelay,2,10,7,11,20,SUV,54,45.952,26,19,0
CC_NoDelay,2,10,8,9,19,Small,16,28.571,11,19,0
CC_NoDelay,2,10,9,9,20,Small,16,21.146,8,19,0
CC_NoDelay,2,10,10,12,23,Sedan,24,68.058,24,19,0
CC_NoDelay,3,10,1,11,21,Truck,70,30.596,25,19,0
CC_NoDelay,3,10,2,10,20,Sedan,24,9.72,4,19,0
CC_NoDelay,3,10,3,10,24,Small,16,45.165,16,19,0
CC_NoDelay,3,10,4,8,18,Truck,70,60.304,49,19,0
CC_NoDelay,3,10,5,8,18,Sedan,24,18.112,8,19,0
CC_NoDelay,3,10,6,8,21,SUV,54,55.554,32,19,0
CC_NoDelay,3,10,7,7,22,Small,16,26.495,10,19,0
CC_NoDelay,3,10,8,8,18,Small,16,52.488,16,19,0
CC_NoDelay,3,10,9,6,19,Truck,70,38.986,32,19,0
CC_NoDelay,3,10,10,8,20,SUV,54,41.64,24,19,0
CC_NoDelay,4,10,1,5,22,Small,16,43.694,16,19,0
CC_NoDelay,4,10,2,10,20,Sedan,24,66.979,24,19,0
CC_NoDelay,4,10,3,9,19,Sedan,24,24.292,10,19,0
