NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
5,Sedan,21,30,6.0,3,13.04,6.0,22.8,18.0,5.938,0,21,23,43.67,3.43,4.79,0.97,0.993,21,22
2,SUV,21,33,13.5,7,9.488,13.5,51.3,40.5,86.377,0,33,39,27.02,3.09,4.71,1.23,0.988,21,23
2,Sedan,22,31,6.0,7,8.184,6.0,22.8,18.0,15.242,0,31,39,30.26,0.77,4.64,1.0,0.958,20,23
5,Truck,18,30,17.5,3,13.215,17.5,66.5,52.5,15.242,0,30,39,15.4,2.15,4.63,1.24,0.97,20,23
2,Small,21,29,4.0,7,2.395,4.0,15.2,12.0,15.242,0,21,23,18.92,1.01,4.62,1.13,0.949,20,21
4,Small,22,34,4.0,3,11.542,4.0,15.2,12.0,3.045,0,29,34,24.91,0.72,4.61,1.1,0.946,21,22
4,Truck,19,30,17.5,7,9.489,17.5,66.5,52.5,15.242,0,19,23,26.87,2.97,4.68,0.93,0.988,19,22
5,Small,19,31,4.0,3,11.284,4.0,15.2,12.0,3.045,0,31,39,36.31,1.4,4.68,1.24,0.981,20,22
1,Small,19,30,5.0,3,12.406,4.0,15.2,11.0,57.822,0,30,39,11.8,1.87,4.75,1.13,0.956,19,22
3,Sedan,18,31,6.0,3,9.37,6.0,22.8,18.0,10.783,0,31,39,9.97,0.63,4.65,1.25,0.853,21,21
5,Small,21,31,5.0,3,14.162,4.0,15.2,11.0,24.344,0,31,39,17.3,3.45,4.72,1.25,0.983,19,23
1,SUV,20,33,13.5,3,9.884,13.5,51.3,40.5,15.242,0,20,23,42.26,3.21,4.78,1.08,0.993,20,22
2,Sedan,22,31,6.0,7,14.976,6.0,22.8,18.0,24.344,0,31,39,44.73,1.25,4.64,1.22,0.982,19,22
1,Sedan,18,33,6.0,3,9.134,6.0,22.8,18.0,83.097,0,29,33,41.3,1.43,4.71,1.16,0.983,19,21
2,Truck,20,31,17.5,7,12.354,17.5,66.5,52.5,57.822,0,31,39,23.09,2.93,4.68,1.05,0.985,20,23
2,Sedan,20,32,6.0,3,14.115,6.0,22.8,18.0,86.377,0,29,32,7.86,3.0,4.78,1.18,0.958,19,21
1,Small,20,32,4.0,3,7.222,4.0,15.2,12.0,86.377,0,20,23,37.01,2.27,4.64,1.17,0.988,19,21
