NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
1,Small,21,33,4.0,7,10.65,4.0,15.2,12.0,24.344,0,29,33,20.21,3.34,4.74,1.0,0.985,19,23
4,Small,18,30,4.0,3,9.095,4.0,15.2,12.0,3.045,0,18,23,41.96,2.46,4.66,1.1,0.99,20,21
3,Small,17,30,4.0,7,4.742,4.0,15.2,12.0,5.938,0,30,39,22.07,2.17,4.65,1.19,0.979,19,23
1,Small,16,31,4.0,3,7.453,4.0,15.2,12.0,5.938,0,16,23,25.25,1.18,4.64,1.17,0.967,21,23
3,Small,18,33,4.0,3,7.871,4.0,15.2,12.0,86.377,0,18,23,17.65,3.27,4.64,0.9,0.983,20,22
3,SUV,19,31,13.5,3,5.404,13.5,51.3,40.5,15.242,0,19,23,7.79,3.04,4.71,1.11,0.959,20,23
5,Small,18,32,4.0,7,9.329,4.0,15.2,12.0,24.344,0,29,32,16.06,2.12,4.73,1.18,0.971,21,21
5,Sedan,16,31,6.0,7,11.894,6.0,22.8,18.0,57.822,0,31,39,16.58,3.46,4.74,0.95,0.983,20,23
1,Small,20,29,5.0,3,12.268,4.0,15.2,11.0,15.242,0,20,23,44.59,2.29,4.68,0.92,0.99,21,21
5,SUV,16,32,13.5,7,11.094,13.5,51.3,40.5,15.242,0,16,23,34.3,1.51,4.76,1.18,0.981,21,22
5,Sedan,19,32,6.0,3,10.043,6.0,22.8,18.0,83.097,0,32,39,35.7,2.66,4.68,1.07,0.99,19,21
4,SUV,18,31,13.5,3,8.827,13.5,51.3,40.5,24.344,0,18,23,31.31,0.58,4.67,1.1,0.946,20,21
3,Small,18,33,4.0,7,6.533,4.0,15.2,12.0,24.344,0,33,39,9.0,2.44,4.79,1.12,0.955,21,22
5,SUV,20,32,13.5,3,13.48,13.5,51.3,40.5,10.783,0,20,23,47.54,1.4,4.75,1.15,0.985,21,22
4,Small,16,31,4.0,7,7.058,4.0,15.2,12.0,83.097,0,16,23,48.59,1.98,4.76,1.04,0.99,21,23
1,Sedan,18,30,6.0,7,10.282,6.0,22.8,18.0,57.822,0,30,39,6.71,3.15,4.62,1.11,0.954,20,23
3,Sedan,18,32,6.0,7,14.906,6.0,22.8,18.0,3.045,0,18,23,44.28,1.44,4.63,1.06,0.984,19,23
3,Sedan,22,32,6.0,3,12.998,6.0,22.8,18.0,15.242,0,32,39,40.96,3.0,4.73,1.22,0.992,19,21
5,Truck,18,30,17.5,7,7.462,17.5,66.5,52.5,5.938,0,30,39,29.26,2.65,4.76,1.1,0.987,20,22
2,Small,18,32,5.0,7,13.281,4.0,15.2,11.0,10.783,0,32,39,27.76,3.56,4.74,1.16,0.99,20,21
4,Truck,18,30,17.5,3,11.308,17.5,66.5,52.5,15.242,0,30,39,45.51,0.52,4.62,1.19,0.959,19,21
4,SUV,19,36,13.5,3,5.553,13.5,51.3,40.5,57.822,0,36,39,24.69,2.12,4.64,1.2,0.981,21,22
2,Truck,17,32,17.5,3,5.281,17.5,66.5,52.5,3.045,0,29,32,7.93,1.55,4.65,0.92,0.922,20,22
1,Truck,20,32,17.5,7,8.365,17.5,66.5,52.5,15.242,0,29,32,40.83,1.08,4.79,0.98,0.978,20,22
5,Sedan,22,30,6.0,3,8.959,6.0,22.8,18.0,24.344,0,30,39,31.24,3.09,4.69,0.96,0.99,20,22
5,SUV,18,33,13.5,3,8.084,13.5,51.3,40.5,86.377,0,33,39,47.3,1.68,4.62,0.93,0.987,20,22
4,Small,19,34,5.0,7,13.937,4.0,15.2,11.0,10.783,0,19,23,44.21,2.43,4.61,1.25,0.991,20,21
4,SUV,21,31,13.5,7,12.145,13.5,51.3,40.5,24.344,0,21,23,40.01,2.16,4.76,0.99,0.988,21,21
1,Sedan,19,32,7.0,3,15.176,6.0,22.8,17.0,10.783,0,19,23,42.44,2.02,4.63,1.25,0.988,21,23
3,Truck,19,31,17.5,3,6.712,17.5,66.5,52.5,15.242,0,31,39,18.38,1.04,4.62,1.19,0.949,21,22
5,Sedan,18,32,6.0,3,12.861,6.0,22.8,18.0,83.097,0,32,39,24.41,1.73,4.77,0.98,0.977,20,21
1,SUV,19,32,13.5,7,8.938,13.5,51.3,40.5,24.344,0,29,32,10.57,1.46,4.65,1.13,0.937,21,21
5,Small,18,29,4.0,7,11.118,4.0,15.2,12.0,5.938,0,29,39,10.91,1.51,4.76,1.07,0.941,19,21
4,Truck,19,33,17.5,7,9.004,17.5,66.5,52.5,10.783,0,29,33,45.05,1.31,4.74,1.13,0.983,21,21
5,Small,18,34,4.0,3,9.482,4.0,15.2,12.0,15.242,0,34,39,17.91,2.62,4.63,0.91,0.979,20,23
