Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
CC_OneSlotDelay,601,20,1,10,22,NAN,NAN,NAN,9,19,1
CC_OneSlotDelay,601,20,2,8,17,NAN,NAN,NAN,37,19,0
CC_OneSlotDelay,601,20,3,8,18,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,601,20,4,10,18,NAN,NAN,NAN,17,19,0
CC_OneSlotDelay,601,20,5,4,18,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,601,20,6,11,20,NAN,NAN,NAN,9,4,0
CC_OneSlotDelay,601,20,7,8,19,NAN,NAN,NAN,22,19,0
CC_OneSlotDelay,601,20,8,12,20,NAN,NAN,NAN,24,19,0
CC_OneSlotDelay,601,20,9,11,21,NAN,NAN,NAN,38,19,0
CC_OneSlotDelay,601,20,10,5,21,NAN,NAN,NAN,16,4,1
CC_OneSlotDelay,601,20,11,10,19,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,601,20,12,10,21,NAN,NAN,NAN,11,19,0
CC_OneSlotDelay,601,20,13,7,20,NAN,NAN,NAN,15,19,0
CC_OneSlotDelay,601,20,14,5,21,NAN,NAN,NAN,38,19,0
CC_OneSlotDelay,601,20,15,9,18,NAN,NAN,NAN,24,19,0
CC_OneSlotDelay,601,20,16,5,23,NAN,NAN,NAN,25,19,1
CC_OneSlotDelay,601,20,17,11,18,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,601,20,18,8,20,NAN,NAN,NAN,24,4,0
CC_OneSlotDelay,601,20,19,7,22,NAN,NAN,NAN,18,19,0
CC_OneSlotDelay,601,20,20,8,21,NAN,NAN,NAN,7,19,1
CC_OneSlotDelay,602,20,1,12,21,NAN,NAN,NAN,13,19,1
CC_OneSlotDelay,602,20,2,6,18,NAN,NAN,NAN,19,19,0
CC_OneSlotDelay,602,20,3,11,20,NAN,NAN,NAN,5,19,0
CC_OneSlotDelay,602,20,4,4,23,NAN,NAN,NAN,22,19,0
CC_OneSlotDelay,602,20,5,7,18,NAN,NAN,NAN,48,19,0
CC_OneSlotDelay,602,20,6,7,20,NAN,NAN,NAN,10,19,0
CC_OneSlotDelay,602,20,7,7,20,NAN,NAN,NAN,14,19,0
CC_OneSlotDelay,602,20,8,7,19,NAN,NAN,NAN,8,19,0
CC_OneSlotDelay,602,20,9,10,18,NAN,NAN,NAN,15,19,0
CC_OneSlotDelay,602,20,10,9,17,NAN,NAN,NAN,24,19,1
CC_OneSlotDelay,602,20,11,6,17,NAN,NAN,NAN,20,19,0
CC_OneSlotDelay,602,20,12,12,21,NAN,NAN,NAN,24,19,0
CC_OneSlotDelay,602,20,13,6,21,NAN,NAN,NAN,13,19,0
CC_OneSlotDelay,602,20,14,6,20,NAN,NAN,NAN,22,19,0
CC_OneSlotDelay,602,20,15,11,18,NAN,NAN,NAN,6,19,0
CC_OneSlotDelay,602,20,16,7,20,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,602,20,17,7,23,NAN,NAN,NAN,24,19,1
CC_OneSlotDelay,602,20,18,12,22,NAN,NAN,NAN,16,19,1
CC_OneSlotDelay,602,20,19,12,17,NAN,NAN,NAN,26,19,0
CC_OneSlotDelay,602,20,20,5,19,NAN,NAN,NAN,11,19,0
CC_OneSlotDelay,603,20,1,11,19,NAN,NAN,NAN,12,4,0
CC_OneSlotDelay,603,20,2,7,22,NAN,NAN,NAN,10,4,0
CC_OneSlotDelay,603,20,3,8,16,NAN,NAN,NAN,18,19,0
CC_OneSlotDelay,603,20,4,10,21,NAN,NAN,NAN,24,19,1
CC_OneSlotDelay,603,20,5,10,19,NAN,NAN,NAN,16,4,1
CC_OneSlotDelay,603,20,6,10,20,NAN,NAN,NAN,21,19,0
CC_OneSlotDelay,603,20,7,12,20,NAN,NAN,NAN,18,19,0
CC_OneSlotDelay,603,20,8,8,22,NAN,NAN,NAN,24,19,1
CC_OneSlotDelay,603,20,9,11,17,NAN,NAN,NAN,24,19,0
CC_OneSlotDelay,603,20,10,8,22,NAN,NAN,NAN,3,19,0
CC_OneSlotDelay,603,20,11,5,18,NAN,NAN,NAN,12,19,0
CC_OneSlotDelay,603,20,12,10,21,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,603,20,13,7,20,NAN,NAN,NAN,12,19,0
CC_OneSlotDelay,603,20,14,9,22,NAN,NAN,NAN,16,4,1
CC_OneSlotDelay,603,20,15,15,17,NAN,NAN,NAN,27,19,0
CC_OneSlotDelay,603,20,16,8,21,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,603,20,17,12,18,NAN,NAN,NAN,5,19,0
CC_OneSlotDelay,603,20,18,8,18,NAN,NAN,NAN,10,19,0
CC_OneSlotDelay,603,20,19,7,20,NAN,NAN,NAN,10,19,0
CC_OneSlotDelay,603,20,20,13,18,NAN,NAN,NAN,25,19,0
CC_OneSlotDelay,604,20,1,8,20,NAN,NAN,NAN,3,19,0
CC_OneSlotDelay,604,20,2,8,20,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,604,20,3,7,17,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,604,20,4,8,19,NAN,NAN,NAN,31,19,0
CC_OneSlotDelay,604,20,5,12,19,NAN,NAN,NAN,14,19,0
CC_OneSlotDelay,604,20,6,9,20,NAN,NAN,NAN,7,19,0
CC_OneSlotDelay,604,20,7,6,19,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,604,20,8,10,16,NAN,NAN,NAN,14,19,0
CC_OneSlotDelay,604,20,9,7,20,NAN,NAN,NAN,16,19,1
CC_OneSlotDelay,604,20,10,11,19,NAN,NAN,NAN,4,19,0
CC_OneSlotDelay,604,20,11,6,22,NAN,NAN,NAN,15,19,0
CC_OneSlotDelay,604,20,12,5,19,NAN,NAN,NAN,10,19,0
CC_OneSlotDelay,604,20,13,8,18,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,604,20,14,8,19,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,604,20,15,11,17,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,604,20,16,10,22,NAN,NAN,NAN,8,19,0
CC_OneSlotDelay,604,20,17,6,22,NAN,NAN,NAN,30,19,1
CC_OneSlotDelay,604,20,18,8,17,NAN,NAN,NAN,7,19,0
CC_OneSlotDelay,604,20,19,6,19,NAN,NAN,NAN,39,19,1
CC_OneSlotDelay,604,20,20,9,17,NAN,NAN,NAN,15,19,1
CC_OneSlotDelay,605,20,1,11,20,NAN,NAN,NAN,6,4,0
CC_OneSlotDelay,605,20,2,14,22,NAN,NAN,NAN,18,19,1
CC_OneSlotDelay,605,20,3,8,16,NAN,NAN,NAN,24,19,0
CC_OneSlotDelay,605,20,4,8,20,NAN,NAN,NAN,16,4,0
CC_OneSlotDelay,605,20,5,10,18,NAN,NAN,NAN,50,19,0
CC_OneSlotDelay,605,20,6,10,23,NAN,NAN,NAN,3,4,0
CC_OneSlotDelay,605,20,7,11,18,NAN,NAN,NAN,37,19,0
CC_OneSlotDelay,605,20,8,8,23,NAN,NAN,NAN,7,4,0
CC_OneSlotDelay,605,20,9,7,19,NAN,NAN,NAN,4,4,0
CC_OneSlotDelay,605,20,10,10,19,NAN,NAN,NAN,34,19,1
CC_OneSlotDelay,605,20,11,10,21,NAN,NAN,NAN,22,19,1
CC_OneSlotDelay,605,20,12,9,21,NAN,NAN,NAN,5,4,0
CC_OneSlotDelay,605,20,13,6,21,NAN,NAN,NAN,37,19,0
CC_OneSlotDelay,605,20,14,9,19,NAN,NAN,NAN,14,19,0
CC_OneSlotDelay,605,20,15,3,20,NAN,NAN,NAN,18,19,0
CC_OneSlotDelay,605,20,16,7,17,NAN,NAN,NAN,14,19,0
CC_OneSlotDelay,605,20,17,11,23,NAN,NAN,NAN,21,19,1
CC_OneSlotDelay,605,20,18,11,20,NAN,NAN,NAN,15,19,0
CC_OneSlotDelay,605,20,19,8,21,NAN,NAN,NAN,4,19,0
CC_OneSlotDelay,605,20,20,10,18,NAN,NAN,NAN,19,4,0
CC_OneSlotDelay,606,20,1,5,16,NAN,NAN,NAN,16,19,0
CC_OneSlotDelay,606,20,2,9,19,NAN,NAN,NAN,31,19,0
CC_OneSlotDelay,606,20,3,9,20,NAN,NAN,NAN,10,19,0
CC_OneSlotDelay,606,20,4,7,21,NAN,NAN,NAN,24,19,0
CC_OneSlotDelay,606,20,5,8,20,NAN,NAN,NAN,13,4,1
CC_OneSlotDelay,606,20,6,9,23,NAN,NAN,NAN,21,19,1
CC_OneSlotDelay,606,20,7,9,18,NAN,NAN,NAN,11,4,0
CC_OneSlotDelay,606,20,8,7,21,NAN,NAN,NAN,20,19,1
