Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
CC_FreeDelay,2001,55,1,5,17,NAN,NAN,NAN,9,19,0
CC_FreeDelay,2001,55,2,10,20,NAN,NAN,NAN,4,19,0
CC_FreeDelay,2001,55,3,9,18,NAN,NAN,NAN,21,19,2
CC_FreeDelay,2001,55,4,8,18,NAN,NAN,NAN,12,19,6
CC_FreeDelay,2001,55,5,10,18,NAN,NAN,NAN,24,19,6
CC_FreeDelay,2001,55,6,9,24,NAN,NAN,NAN,15,19,0
CC_FreeDelay,2001,55,7,9,19,NAN,NAN,NAN,16,19,4
CC_FreeDelay,2001,55,8,8,23,NAN,NAN,NAN,16,19,1
CC_FreeDelay,2001,55,9,9,20,NAN,NAN,NAN,29,19,2
CC_FreeDelay,2001,55,10,10,18,NAN,NAN,NAN,13,19,0
CC_FreeDelay,2001,55,11,9,21,NAN,NAN,NAN,16,19,3
CC_FreeDelay,2001,55,12,7,21,NAN,NAN,NAN,16,19,0
CC_FreeDelay,2001,55,13,11,19,NAN,NAN,NAN,47,19,5
CC_FreeDelay,2001,55,14,8,20,NAN,NAN,NAN,18,19,4
CC_FreeDelay,2001,55,15,10,18,NAN,NAN,NAN,49,19,6
CC_FreeDelay,2001,55,16,3,20,NAN,NAN,NAN,12,19,1
CC_FreeDelay,2001,55,17,8,21,NAN,NAN,NAN,32,19,2
CC_FreeDelay,2001,55,18,7,19,NAN,NAN,NAN,23,19,5
CC_FreeDelay,2001,55,19,6,20,NAN,NAN,NAN,16,19,0
CC_FreeDelay,2001,55,20,6,22,NAN,NAN,NAN,14,19,0
CC_FreeDelay,2001,55,21,7,18,NAN,NAN,NAN,17,19,0
CC_FreeDelay,2001,55,22,12,20,NAN,NAN,NAN,17,19,0
CC_FreeDelay,2001,55,23,13,18,NAN,NAN,NAN,16,19,0
CC_FreeDelay,2001,55,24,10,20,NAN,NAN,NAN,16,19,4
CC_FreeDelay,2001,55,25,9,22,NAN,NAN,NAN,3,19,0
CC_FreeDelay,2001,55,26,9,22,NAN,NAN,NAN,31,19,2
CC_FreeDelay,2001,55,27,10,22,NAN,NAN,NAN,14,19,2
CC_FreeDelay,2001,55,28,7,19,NAN,NAN,NAN,14,19,4
CC_FreeDelay,2001,55,29,2,19,NAN,NAN,NAN,24,19,5
CC_FreeDelay,2001,55,30,8,20,NAN,NAN,NAN,16,19,4
CC_FreeDelay,2001,55,31,10,19,NAN,NAN,NAN,14,19,5
CC_FreeDelay,2001,55,32,7,19,NAN,NAN,NAN,34,19,0
CC_FreeDelay,2001,55,33,8,18,NAN,NAN,NAN,12,19,5
CC_FreeDelay,2001,55,34,8,16,NAN,NAN,NAN,14,19,5
CC_FreeDelay,2001,55,35,9,18,NAN,NAN,NAN,25,19,6
CC_FreeDelay,2001,55,36,6,22,NAN,NAN,NAN,12,19,0
CC_FreeDelay,2001,55,37,5,23,NAN,NAN,NAN,24,19,0
CC_FreeDelay,2001,55,38,9,19,NAN,NAN,NAN,14,19,2
CC_FreeDelay,2001,55,39,8,22,NAN,NAN,NAN,14,19,0
CC_FreeDelay,2001,55,40,9,18,NAN,NAN,NAN,26,19,0
CC_FreeDelay,2001,55,41,9,22,NAN,NAN,NAN,26,19,0
CC_FreeDelay,2001,55,42,7,22,NAN,NAN,NAN,20,19,1
CC_FreeDelay,2001,55,43,7,19,NAN,NAN,NAN,12,19,0
CC_FreeDelay,2001,55,44,8,20,NAN,NAN,NAN,16,19,4
CC_FreeDelay,2001,55,45,12,21,NAN,NAN,NAN,7,19,0
CC_FreeDelay,2001,55,46,9,20,NAN,NAN,NAN,11,19,0
CC_FreeDelay,2001,55,47,10,21,NAN,NAN,NAN,24,19,0
CC_FreeDelay,2001,55,48,6,22,NAN,NAN,NAN,11,19,0
CC_FreeDelay,2001,55,49,8,19,NAN,NAN,NAN,20,19,0
CC_FreeDelay,2001,55,50,8,18,NAN,NAN,NAN,16,19,6
CC_FreeDelay,2001,55,51,8,19,NAN,NAN,NAN,16,19,5
CC_FreeDelay,2001,55,52,11,20,NAN,NAN,NAN,12,19,0
CC_FreeDelay,2001,55,53,11,19,NAN,NAN,NAN,6,19,5
CC_FreeDelay,2001,55,54,8,22,NAN,NAN,NAN,20,19,1
CC_FreeDelay,2001,55,55,8,17,NAN,NAN,NAN,38,19,0
CC_FreeDelay,2002,55,1,11,17,NAN,NAN,NAN,16,19,2
CC_FreeDelay,2002,55,2,10,18,NAN,NAN,NAN,10,19,6
CC_FreeDelay,2002,55,3,7,19,NAN,NAN,NAN,16,19,5
CC_FreeDelay,2002,55,4,6,18,NAN,NAN,NAN,31,19,6
CC_FreeDelay,2002,55,5,7,21,NAN,NAN,NAN,3,19,0
CC_FreeDelay,2002,55,6,13,21,NAN,NAN,NAN,9,19,0
CC_FreeDelay,2002,55,7,6,16,NAN,NAN,NAN,9,19,7
CC_FreeDelay,2002,55,8,8,22,NAN,NAN,NAN,12,19,0
CC_FreeDelay,2002,55,9,8,20,NAN,NAN,NAN,16,19,4
CC_FreeDelay,2002,55,10,10,19,NAN,NAN,NAN,22,19,4
CC_FreeDelay,2002,55,11,9,21,NAN,NAN,NAN,2,19,0
CC_FreeDelay,2002,55,12,11,18,NAN,NAN,NAN,6,19,0
CC_FreeDelay,2002,55,13,6,18,NAN,NAN,NAN,16,19,5
CC_FreeDelay,2002,55,14,9,20,NAN,NAN,NAN,10,19,4
CC_FreeDelay,2002,55,15,11,19,NAN,NAN,NAN,17,19,5
CC_FreeDelay,2002,55,16,8,20,NAN,NAN,NAN,15,19,4
CC_FreeDelay,2002,55,17,10,19,NAN,NAN,NAN,19,19,2
CC_FreeDelay,2002,55,18,6,23,NAN,NAN,NAN,7,19,0
CC_FreeDelay,2002,55,19,8,17,NAN,NAN,NAN,24,19,6
CC_FreeDelay,2002,55,20,9,18,NAN,NAN,NAN,16,19,6
CC_FreeDelay,2002,55,21,13,23,NAN,NAN,NAN,12,19,0
